"","celltypes","x","y"
"1","D",507.478203158826,853.144091088325
"2","D",306.768506066874,178.982442244887
"3","C",426.907666493207,612.596386345103
"4","C",693.102080840617,892.387828556821
"5","A",85.1359688676894,595.053797820583
"6","C",225.436616456136,390.400160569698
"7","C",274.530522990972,797.494499012828
"8","B",272.305066231638,374.60167100653
"9","C",615.829307818785,411.774289095774
"10","C",429.671525489539,25.3560710698366
"11","C",651.655666995794,613.458361243829
"12","D",567.737752571702,2.03684065490961
"13","B",113.508982118219,366.780642420053
"14","D",595.925305271521,991.293465485796
"15","A",358.049975009635,855.731071671471
"16","C",428.809418343008,109.804551582783
"17","A",51.9033221062273,113.322034012526
"18","C",264.177667442709,916.168918833137
"19","B",398.790730861947,853.693549288437
"20","B",836.134143406525,449.281833833084
"21","B",864.721225807443,451.156811788678
"22","A",615.352416876704,418.123644310981
"23","A",775.109896436334,772.947136079893
"24","D",355.568691389635,233.530143741518
"25","C",405.849972041324,935.753517784178
"26","C",706.646913895383,63.2473481819034
"27","B",838.287665275857,443.001496838406
"28","C",239.589131204411,821.107856929302
"29","B",770.771533250809,315.049804281443
"30","C",355.897744419053,386.924364604056
"31","A",535.597037756816,167.656176490709
"32","D",93.0881295353174,148.881598841399
"33","A",169.803041499108,869.665269041434
"34","C",899.832450784743,222.077155951411
"35","C",422.637606970966,414.726141141728
"36","D",747.746467823163,168.915977934375
"37","A",822.652579983696,120.970088988543
"38","C",954.65364633128,480.856185778975
"39","B",685.444509377703,331.581677077338
"40","B",500.503229675815,916.835648939013
"41","B",275.483862496912,198.273705784231
"42","A",228.903944836929,48.9162432495505
"43","C",14.4339059479535,746.061441255733
"44","A",728.964562527835,606.548997340724
"45","A",249.880471732467,701.088360277936
"46","D",161.183276679367,278.830607421696
"47","C",17.0426501426846,435.307086911052
"48","B",486.100345151499,923.375743906945
"49","A",102.900171885267,351.915108971298
"50","C",801.547004608437,182.321472791955
"51","B",354.328064946458,284.754096996039
"52","C",936.432539252564,477.557712234557
"53","D",245.866392273456,233.868039678782
"54","C",473.141461377963,208.043657708913
"55","C",191.560871200636,902.648824034259
"56","B",583.221969893202,872.506304411218
"57","C",459.473189897835,202.82585779205
"58","B",467.434047954157,85.141129558906
"59","B",399.832555558532,66.8455129489303
"60","B",505.285596242175,184.371426468715
"61","A",31.8881559651345,959.751929156482
"62","A",114.467588020489,758.812403306365
"63","C",468.935475917533,742.659315932542
"64","B",396.986737614498,745.099421590567
"65","C",833.619194105268,852.995895780623
"66","A",761.121743358672,201.606548856944
"67","C",573.356448905542,134.700030554086
"68","C",447.508045937866,715.084434719756
"69","A",83.8020080700517,52.0399850793183
"70","D",219.138547312468,245.520106516778
"71","D",75.57029183954,125.548626761883
"72","C",534.426784375682,240.491720614955
"73","B",641.356576699764,472.856583772227
"74","C",525.739317527041,93.5433336999267
"75","C",39.2813880462199,932.612040778622
"76","C",545.859839767218,727.058811346069
"77","A",372.763097286224,656.798837939277
"78","C",961.302414536476,364.613868063316
"79","C",257.341569056734,767.739685019478
"80","D",207.951683318242,201.037027640268
"81","A",861.382439732552,936.801792588085
"82","C",464.391982648522,441.811255412176
"83","B",222.867433447391,771.091640694067
"84","B",623.549601528794,480.75728979893
"85","C",203.647700604051,557.206269819289
"86","A",19.6734135970473,132.520217681304
"87","A",797.993005951867,166.779723018408
"88","B",274.318896699697,961.034396663308
"89","A",166.609104024246,862.178255803883
"90","D",170.151718193665,880.578528856859
"91","A",488.5059366934,468.820985872298
"92","A",711.409077281132,637.148305075243
"93","B",591.934921452776,268.05607881397
"94","D",517.156876856461,171.236950904131
"95","C",381.627685856074,411.227510077879
"96","C",834.778329590335,360.590538242832
"97","A",249.008050654083,738.150021061301
"98","C",540.601027896628,176.278102211654
"99","B",743.839403614402,372.824361082166
"100","D",30.0118550658226,163.761345902458
"101","C",344.343504868448,879.409832879901
"102","A",61.3225530833006,400.72087245062
"103","C",368.979808874428,503.118706634268
"104","A",407.593560405076,514.976816484705
"105","A",914.336755406111,36.25921998173
"106","C",888.705248013139,692.524701124057
"107","C",983.732176246122,235.594689147547
"108","A",477.195278741419,784.325714688748
"109","A",693.508233409375,158.728691982105
"110","B",425.74646230787,321.110480930656
"111","A",784.166532801464,323.412344092503
"112","A",842.695987317711,111.226579872891
"113","B",183.472146512941,264.872503001243
"114","B",528.539601247758,265.706198522821
"115","A",702.947550453246,609.458474675193
"116","A",913.272760109976,755.533068673685
"117","C",259.173918282613,949.037376325577
"118","D",792.624769965187,980.213220231235
"119","A",614.469551481307,58.7973708752543
"120","D",700.620528310537,908.508507302031
"121","B",107.933233957738,314.929370535538
"122","B",333.865793189034,304.785935906693
"123","C",324.131608242169,977.754913503304
"124","C",565.425756154582,797.88931668736
"125","A",203.178191324696,579.406927805394
"126","A",219.704507384449,625.114613678306
"127","A",633.115279255435,412.44648816064
"128","B",352.520510321483,832.576275104657
"129","A",856.873234035447,145.774679724127
"130","B",950.721567496657,440.126745728776
"131","C",888.031510869041,413.894581841305
"132","A",46.8587768264115,248.464972013608
"133","B",769.040513783693,937.082261312753
"134","C",230.225422652438,930.316491983831
"135","A",315.184117760509,593.573878984898
"136","C",282.669585896656,651.48273925297
"137","C",713.195651303977,879.830892430618
"138","C",862.137916730717,62.8361210692674
"139","C",106.32352065295,311.561545589939
"140","B",550.327755743638,954.814410768449
"141","A",648.369514383376,149.620546959341
"142","C",234.786699060351,795.602534431964
"143","C",76.2972147203982,845.962844789028
"144","B",923.095042584464,342.938515357673
"145","D",147.216692566872,54.0909795090556
"146","B",822.390374960378,327.638120157644
"147","D",413.518392248079,381.959274644032
"148","A",612.52060951665,455.456232884899
"149","A",68.1205017026514,606.483906274661
"150","B",904.132198076695,166.405386291444
"151","A",879.543198738247,912.249392829835
"152","C",197.116872528568,433.987035183236
"153","C",69.4597107358277,60.4716867674142
"154","C",157.339573372155,603.381861466914
"155","C",333.456780062988,869.952409993857
"156","C",180.061773629859,321.877165930346
"157","C",146.482686745003,545.056717703119
"158","A",290.575438411906,640.567657072097
"159","A",936.068888055161,187.53095716238
"160","D",102.460469352081,234.992944635451
"161","A",723.351882304996,264.066428178921
"162","C",516.401493921876,455.011455342174
"163","C",411.899478174746,648.438238771632
"164","A",413.265279959887,430.614550830796
"165","C",762.044408358634,982.717251172289
"166","C",259.176547406241,396.192813059315
"167","C",763.189780293033,672.943797893822
"168","A",982.404813636094,748.328431043774
"169","B",670.119031332433,1.60583737306297
"170","A",589.927892433479,832.869405159727
"171","C",563.098840182647,469.21388618648
"172","C",761.796804377809,274.624799843878
"173","B",745.297400513664,12.0328071061522
"174","A",707.827262114733,23.7403807695955
"175","A",986.808244138956,20.8488192874938
"176","B",451.630907133222,257.597676478326
"177","A",118.217407958582,56.6114843823016
"178","C",238.635318819433,282.647464191541
"179","C",470.522761810571,293.743403861299
"180","D",352.323070866987,345.447764731944
"181","A",338.575244881213,671.159121673554
"182","B",127.301266184077,376.43692875281
"183","B",424.073856091127,359.496325487271
"184","C",473.310839850456,804.114729631692
"185","A",527.722007362172,396.927387453616
"186","A",626.953609287739,13.1741985678673
"187","C",876.026091631502,613.2354978472
"188","C",679.157036589459,398.863452719525
"189","D",724.064010661095,109.754950506613
"190","A",181.847722735256,684.503334341571
"191","C",77.855518553406,4.06050379388034
"192","D",72.1974035259336,539.886311860755
"193","A",54.0625944267958,65.255189081654
"194","C",517.273405333981,184.907469898462
"195","C",814.051568740979,738.496362697333
"196","C",449.048402486369,264.724025735632
"197","C",558.894887799397,792.962029343471
"198","C",279.880106681958,906.932690646499
"199","C",890.094037400559,255.954978521913
"200","C",715.849278261885,557.807622477412
"201","B",223.088392289355,47.9826254304498
"202","C",535.89499858208,942.026436561719
"203","C",662.52909693867,400.971150491387
"204","C",848.070533480495,983.764870325103
"205","C",149.183102883399,615.260750753805
"206","D",670.099398586899,104.83033512719
"207","D",761.635679518804,159.021318657324
"208","C",998.634453164414,626.806177664548
"209","A",263.297273311764,906.429578782991
"210","B",885.186031693593,483.350317925215
"211","C",713.342019123957,542.87349479273
"212","C",670.62202678062,344.612543238327
"213","C",745.689576724544,958.165822084993
"214","D",413.482744712383,426.160300150514
"215","C",48.6536016687751,769.154998939484
"216","C",764.684811932966,965.143587905914
"217","A",848.064591642469,993.713984964415
"218","C",532.162737566978,563.985930057243
"219","A",870.330249890685,695.953835034743
"220","D",123.705169651657,251.997402636334
"221","C",100.245385430753,31.6051912959665
"222","A",686.97782792151,783.02862495184
"223","C",870.523285819218,766.503880731761
"224","D",770.652192644775,56.652995524928
"225","A",321.275684749708,635.891045210883
"226","D",229.404358426109,107.935440726578
"227","C",376.092255814001,800.236264243722
"228","A",803.793198894709,807.221777737141
"229","B",822.333148214966,487.015370745212
"230","D",388.310988433659,294.048790819943
"231","A",530.74579173699,132.098325062543
"232","B",455.840947106481,230.574283283204
"233","B",850.812305929139,158.10868400149
"234","A",217.520719161257,936.350099276751
"235","A",770.921862218529,140.088151907548
"236","C",275.639364030212,654.429558897391
"237","B",895.359478890896,465.304989600554
"238","C",523.639119928703,129.705911036581
"239","C",829.177238745615,92.5746953580528
"240","C",735.43981811963,260.225013829768
"241","D",315.128335496411,389.371101278812
"242","B",548.315674997866,969.352155225351
"243","C",580.386281246319,145.233185496181
"244","C",54.0415176656097,308.614287525415
"245","B",487.339799990878,971.233759075403
"246","D",709.40070762299,91.5970713831484
"247","A",115.930188680068,935.874110553414
"248","A",895.791755523533,61.275509186089
"249","C",733.581526437774,608.857430052012
"250","B",734.002289595082,906.136010074988
"251","D",180.147138889879,114.517375826836
"252","A",875.112698646262,211.976145626977
"253","C",598.226015688851,210.123692173511
"254","B",217.712457757443,980.935051105917
"255","D",143.976519815624,297.803396126255
"256","C",816.860782215372,36.9352044072002
"257","C",357.93563676998,769.9764741119
"258","C",440.736256306991,427.838973701
"259","C",113.717057043687,996.120780240744
"260","A",831.672048196197,856.630111578852
"261","C",923.528456594795,274.541843915358
"262","B",297.196871135384,393.182259751484
"263","C",736.775480676442,323.163171997294
"264","B",414.002026896924,891.659726155922
"265","D",22.9226106312126,61.0351513605565
"266","B",390.414785593748,809.698851779103
"267","C",247.672537574545,833.236689912155
"268","B",466.850576223806,209.148243302479
"269","D",322.738196933642,8.25289147906005
"270","A",878.178441664204,431.886191945523
"271","B",162.786687258631,913.492599502206
"272","A",995.373070472851,916.802514577284
"273","A",689.817006699741,586.903146700934
"274","C",227.645422564819,924.281446961686
"275","C",766.0246710293,256.94691692479
"276","A",990.935809677467,824.053591582924
"277","C",747.70933156833,612.133400747553
"278","A",729.463790543377,870.003431802616
"279","C",830.157151212916,577.614987036213
"280","A",25.9805398527533,68.2595891412348
"281","A",46.9345354940742,166.155551560223
"282","A",995.615484192967,461.900803493336
"283","D",114.065864589065,124.214753508568
"284","A",928.903843974695,571.867568884045
"285","A",24.8084182385355,484.382874099538
"286","C",971.509145805612,77.1027337759733
"287","B",929.320940747857,366.650986718014
"288","C",555.484855547547,126.708063995466
"289","D",645.229396177456,857.180644990876
"290","A",876.456046011299,911.444210447371
"291","B",856.760896975175,444.974847137928
"292","C",968.180189374834,646.143883699551
"293","C",702.169279335067,804.638710804284
"294","A",993.792320601642,591.222296236083
"295","D",540.615095524117,868.786917068064
"296","B",448.706201743335,550.349553348497
"297","C",909.516320796683,190.218792296946
"298","A",94.2292367108166,957.932029152289
"299","A",534.757552668452,235.220165224746
"300","A",161.837438354269,423.870972590521
"301","C",347.860109992325,692.48542515561
"302","C",7.9926063772291,889.740945538506
"303","B",401.344915386289,84.695294033736
"304","A",588.350692996755,151.097916997969
"305","B",875.976233975962,514.677775092423
"306","B",708.542598644271,865.269495174289
"307","C",193.594260374084,721.129751298577
"308","B",381.765494355932,91.9918087311089
"309","A",193.059137091041,752.99457856454
"310","C",816.977369831875,903.158334083855
"311","A",10.1429668720812,284.7608292941
"312","B",363.609035965055,5.89397293515503
"313","A",728.681493550539,606.556674931198
"314","B",398.96522439085,14.6782351657748
"315","A",874.929311918095,293.930949177593
"316","A",135.716364020482,877.01872154139
"317","C",115.147814154625,656.382310437039
"318","D",196.72909239307,49.8582040891051
"319","C",57.053348980844,425.99108396098
"320","A",587.422257522121,480.185802094638
"321","C",743.17543185316,739.807078382
"322","B",583.126855781302,661.02521168068
"323","C",291.362569667399,749.040992697701
"324","A",997.801941120997,653.75473536551
"325","B",698.835608782247,344.195454847068
"326","B",258.798506809399,448.151576798409
"327","A",242.150088772178,984.807141823694
"328","A",380.862789228559,626.872268505394
"329","B",330.363617511466,81.4636689610779
"330","A",964.242246700451,941.848837770522
"331","D",249.101692112163,432.229782920331
"332","A",580.648473463953,604.264511493966
"333","C",831.256195669994,432.727473322302
"334","B",204.067441402003,120.578081114218
"335","C",71.0285692475736,486.843920312822
"336","D",751.070201164111,636.679681716487
"337","D",572.900656610727,991.541796829551
"338","C",741.908231750131,737.248978111893
"339","B",75.622578850016,161.084139952436
"340","A",923.359972657636,738.790690433234
"341","A",127.685570856556,459.753727773204
"342","A",766.168663278222,900.156127056107
"343","B",339.200782356784,27.8005539439619
"344","D",118.930512107909,339.550665114075
"345","C",557.223822688684,291.545834392309
"346","C",137.36740895547,378.910025348887
"347","A",855.887677753344,762.353915255517
"348","C",845.55095131509,890.504340874031
"349","A",284.069678047672,969.568450469524
"350","C",810.083557153121,947.738300543278
"351","A",899.230887647718,786.593619734049
"352","A",976.926211034879,623.985534301028
"353","C",590.289335465059,462.27112901397
"354","B",651.103080483153,312.021140707657
