"","x","y","values","celltypes"
"cell1422",680.635657161474,956.88528008759,-0.327973818671646,"B"
"cell1017",876.858412055299,458.796519786119,0.35460163150667,"A"
"cell1860",691.523276036605,375.896577723324,-0.796932380500587,"B"
"cell679",298.161529470235,484.753041295335,0.367882950611456,"A"
"cell129",228.658142732456,79.2144953738898,0.186667482380918,"A"
"cell930",428.347001317888,537.049781996757,-0.119239472735618,"B"
"cell1533",739.606497809291,801.96490092203,-0.581635027902975,"B"
"cell471",460.895179538056,801.7257086467,-2.07951325569991,"B"
"cell299",50.4396595060825,286.292243981734,-1.45689894729276,"B"
"cell270",169.576766667888,968.929607188329,0.842172261018699,"A"
"cell1211",127.824782626703,821.587861981243,-1.55479226010412,"B"
"cell1331",373.548197327182,70.4086690675467,2.07411815369019,"A"
"cell597",479.835794307292,342.435503611341,-1.45932785145771,"B"
"cell1301",524.289028486237,485.714763170108,0.0370098769449571,"A"
"cell1898",19.8653580155224,199.540129397064,-0.566134582849489,"B"
"cell1974",229.959039483219,411.65281063877,-0.116012222496026,"B"
"cell1518",406.196559080854,917.90635837242,-1.45201110451515,"B"
"cell330",762.151529546827,866.388360504061,-1.07437443809941,"B"
"cell1799",299.391138367355,769.887712784111,-1.02014474727085,"B"
"cell1865",431.776891928166,827.752581331879,-1.65520067284695,"B"
"cell1615",840.534914750606,905.293547548354,-0.323920891114979,"B"
"cell1749",306.675198487937,592.552592745051,0.86498692784327,"A"
"cell37",794.23986072652,136.255458230153,-1.36735957399006,"B"
"cell1129",272.015735739842,219.007093459368,-0.166386150828334,"B"
"cell729",432.773130247369,955.79069154337,-1.93807821856434,"B"
"cell878",454.598771873862,482.314377091825,-0.745393182739835,"B"
"cell485",588.419190375134,71.9018939416856,-1.73834029725121,"B"
"cell1701",673.797813244164,353.937219595537,0.447617032769877,"A"
"cell1826",570.644013117999,26.2142333667725,0.0383502051727451,"A"
"cell874",223.767722956836,396.762260701507,-0.620779351229473,"B"
"cell382",564.263842999935,691.5888634976,-0.0840180199910187,"B"
"cell1625",748.016487574205,464.907581685111,-0.366519706417314,"B"
"cell1964",801.678828895092,519.093003123999,-0.970889279372751,"B"
"cell975",148.319643223658,552.575739799067,0.125099132470194,"A"
"cell801",858.687452971935,939.054067479447,-0.825940199040529,"B"
"cell852",743.10650723055,931.386237964034,-0.120026351230779,"B"
"cell931",610.016016056761,969.277777243406,-2.61739679958749,"B"
"cell326",953.548396006227,46.5476112440228,-1.52930820290788,"B"
"cell1983",251.71154923737,801.075034309179,-0.0834073625275912,"B"
"cell554",906.315261265263,792.540993075818,-1.66752740929923,"B"
"cell1446",259.404480922967,471.443838207051,-0.286440193556158,"B"
"cell111",976.170694921166,400.826663477346,-1.15581129639878,"B"
"cell1428",501.537791918963,627.194220898673,-0.409035333578015,"B"
"cell1948",912.195181939751,832.619810011238,-1.70617333134349,"B"
"cell532",29.3771654833108,569.84137953259,-0.50465043876094,"B"
"cell1530",961.542513919994,726.855342742056,-2.1356874602412,"B"
"cell556",382.504623383284,751.720339525491,-1.13335251639021,"B"
"cell889",581.277578603476,96.0991012398154,-0.451671966161344,"B"
"cell343",542.130424408242,308.029898675159,-0.315678548667416,"B"
"cell582",948.938177432865,671.259561087936,-1.14504722046779,"B"
"cell1145",789.792735129595,639.825749909505,0.104039441583459,"A"
"cell40",411.274429643527,211.811334360391,0.117571583086511,"A"
"cell1708",633.788643172011,126.471027033404,-0.102930204449899,"B"
"cell537",370.309785706922,195.720054209232,0.259608413962983,"A"
"cell375",221.813754411414,396.944124717265,0.206379615702058,"A"
"cell248",132.689975202084,299.830043222755,-0.0905735902761848,"B"
"cell1222",98.2272308319807,767.656422685832,-0.438733118027108,"B"
"cell378",864.807550329715,964.966776082292,-0.934905149846883,"B"
"cell39",723.710946040228,979.130022460595,-0.946905201994742,"B"
"cell435",105.050138663501,385.464416816831,-0.543911871688085,"B"
"cell810",31.7132039926946,119.221175322309,-0.149966429332595,"B"
"cell1414",562.005922431126,961.45927417092,-1.4842941778369,"B"
"cell1304",975.226715672761,20.5816389061511,-2.52919430144147,"B"
"cell1696",224.564614938572,547.037804732099,0.60822480003587,"A"
"cell526",928.17754833959,653.045778162777,-0.611445328424186,"B"
"cell642",301.693270448595,187.907135579735,0.342060157854251,"A"
"cell1069",949.707917869091,905.239950865507,-1.69197219060148,"B"
"cell1426",14.2486135009676,880.628596292809,-0.69747186589755,"B"
"cell22",212.142521282658,822.897979756817,0.642234923428707,"A"
"cell1742",987.627439666539,389.244145480916,-1.65392154306803,"B"
"cell1766",587.899940554053,858.123119222,-2.75741267420548,"B"
"cell193",100.873126182705,955.188889289275,-0.618192608320297,"B"
"cell1395",719.150138553232,28.5940209869295,-2.04282429638141,"B"
"cell499",846.245752647519,98.7638756632805,-0.941789580446044,"B"
"cell1128",445.692849811167,952.456215396523,-2.37246612203119,"B"
"cell1350",645.020991796628,38.2028366439044,-1.02534037352598,"B"
"cell983",988.833592971787,343.24827324599,-1.08640385110757,"B"
"cell1791",494.711893843487,718.828025972471,-0.363655915257647,"B"
"cell1516",387.452162569389,272.624538047239,0.488432413801251,"A"
"cell1862",34.1706455219537,538.620322709903,0.109876927288092,"A"
"cell1640",34.8385337274522,61.9698725640774,-0.503290850739698,"B"
"cell1639",688.325521536171,335.506540024653,-0.0220049637979961,"B"
"cell843",238.737003179267,629.099685000256,-0.956924724993304,"B"
"cell465",260.929737240076,655.966898193583,1.18448039968989,"A"
"cell996",776.833998039365,261.379009811208,-1.84204896798902,"B"
"cell1549",474.994423566386,615.423773881048,0.44008062266755,"A"
"cell1832",925.67753768526,862.138818949461,-1.55734557215054,"B"
"cell1753",570.017137564719,132.784375688061,1.01381928893322,"A"
"cell1200",45.7247165031731,269.444103119895,-0.511631628440782,"B"
"cell1369",143.268311629072,570.556978695095,0.697343324690089,"A"
"cell1815",593.993296846747,773.117371369153,-1.03277644158299,"B"
"cell1134",406.075093662366,813.566470053047,-1.06420816964079,"B"
"cell84",325.352151878178,308.182996464893,-1.15966544810028,"B"
"cell1895",987.835156964138,518.254502210766,-0.889727228866661,"B"
"cell1053",442.66078225337,536.541351582855,0.877446946010722,"A"
"cell1165",943.474682746455,28.1480583362281,-0.731292583884378,"B"
"cell252",932.909828843549,758.669548435137,-1.84055573463037,"B"
"cell733",751.221985556185,132.818012498319,-2.04241401177962,"B"
"cell620",57.3726783040911,536.27455397509,-0.473510518740795,"B"
"cell1328",73.9639038220048,25.3674585837871,-0.714642572312019,"B"
"cell1569",813.636587467045,58.4233943372965,-1.08836801685851,"B"
"cell557",94.0458888653666,524.456359213218,-1.12677783559856,"B"
"cell1685",998.877475271001,880.699609406292,-1.83908635701034,"B"
"cell287",321.492120390758,888.176588574424,-1.19226310610019,"B"
"cell614",538.794299354777,470.83354764618,1.05704586476759,"A"
"cell1169",687.330156099051,750.697880750522,-0.346993728107397,"B"
"cell329",267.878128914163,0.656347954645753,0.937670886599291,"A"
"cell487",189.779917709529,162.359612528235,1.85346974791165,"A"
"cell855",217.822452541441,576.50084933266,-0.0536062829614198,"B"
"cell851",946.556748822331,413.064608583227,-1.23580972677322,"B"
"cell1654",328.341855900362,583.87052314356,0.380709246403512,"A"
"cell1522",858.245956944302,332.168674794957,-1.28173779369854,"B"
"cell858",720.415785908699,276.402591494843,-0.939425303471097,"B"
"cell1840",73.637954890728,998.813308309764,-1.36428815664763,"B"
"cell619",626.65484752506,722.559324000031,-0.623488378145006,"B"
"cell576",525.305503746495,993.087251903489,-2.05743510339245,"B"
"cell990",527.781835990027,761.296632234007,-0.380033860545301,"B"
"cell1514",842.504459200427,190.689533017576,-2.06017819369462,"B"
"cell1760",773.667640052736,327.358053298667,-0.302304417660433,"B"
"cell1023",174.661678960547,396.388927707449,-0.360003354070998,"B"
"cell1127",278.440013062209,746.932842768729,1.11563049167393,"A"
"cell316",495.001644827425,404.281071387231,-1.73761539987093,"B"
"cell1075",900.032610632479,952.318837866187,-1.45929891504796,"B"
"cell1903",453.66955595091,405.676354188472,-0.615309203442254,"B"
"cell1314",669.604706112295,628.667964134365,-0.468616519224068,"B"
"cell650",942.074909573421,198.53898906149,-0.723558070588314,"B"
"cell1996",775.028235046193,585.793458623812,-0.417019846384921,"B"
"cell811",353.58579759486,180.133660789579,0.767124032946742,"A"
"cell955",592.313350411132,431.453318335116,-0.364553011812073,"B"
"cell282",527.310776989907,903.507313458249,-0.941352708434743,"B"
"cell1167",953.315612394363,157.595142023638,-0.435521169820783,"B"
"cell1466",300.92075210996,513.342239893973,1.07882403250194,"A"
"cell285",47.959131654352,95.8790276199579,-0.961840423906697,"B"
"cell1706",177.430625306442,506.533620646223,0.415907184822069,"A"
"cell1072",2.01923260465264,12.8363075200468,-0.420615248226481,"B"
"cell501",554.177061188966,526.019062381238,0.679856580439189,"A"
"cell1740",25.4819660913199,289.761925814673,-1.1276877591066,"B"
"cell511",874.149660812691,307.436424074695,-1.02298530498322,"B"
"cell1319",759.542910149321,715.289933141321,-0.93977369137528,"B"
"cell536",43.2182590011507,863.499861210585,-1.59571344508218,"B"
"cell693",820.171616971493,132.781761698425,-1.08706800932419,"B"
"cell988",328.157980693504,556.919454364106,0.819119810509672,"A"
"cell1238",469.381074188277,532.063555205241,-0.613814647920802,"B"
"cell1914",153.707588091493,629.487839993089,0.442590248201648,"A"
"cell737",283.47720974125,440.128399757668,-0.441219145012304,"B"
"cell1363",115.268956404179,876.213284675032,-0.795226867749092,"B"
"cell1370",567.135462770239,630.15224202536,0.128644461851585,"A"
"cell1699",638.156944653019,674.378331983462,-0.427136672358867,"B"
"cell1067",325.715993763879,870.443280553445,-1.05827075124222,"B"
"cell1025",166.71216674149,113.112227525562,1.19685241910141,"A"
"cell29",869.69084572047,637.171967187896,-1.83018593401991,"B"
"cell1614",701.246433425695,786.069729132578,-0.499448044773171,"B"
"cell838",872.974850703031,950.325969839469,-0.614016784983396,"B"
"cell1820",619.130822597072,989.025634946302,-2.13375277350015,"B"
"cell1652",56.4868177752942,847.690366907045,-0.985297156239455,"B"
"cell233",374.486864544451,214.822159614414,0.0655046070746589,"A"
"cell1317",139.022845542058,51.6226533800364,-0.139008156009787,"B"
"cell573",252.009797375649,572.20648182556,1.88735553982843,"A"
"cell369",698.82453721948,779.726102715358,-0.0645268921480899,"B"
"cell451",964.317037956789,651.633564848453,-0.996454206154585,"B"
"cell86",202.692255144939,847.399726277217,-0.10515633802095,"B"
"cell1507",747.705924557522,334.934893762693,-0.654962245257955,"B"
"cell327",812.305092345923,425.855690613389,-0.487517458517064,"B"
"cell1646",344.986650394276,729.115832597017,0.0866713821936793,"A"
"cell355",981.018084799871,800.7615969982,-1.9882924050781,"B"
"cell812",387.123587774113,284.447416896,-0.0663782648996286,"B"
"cell1073",619.192603277043,411.044480744749,-0.436688508016252,"B"
"cell361",109.100963454694,985.571624245495,-1.14242067187804,"B"
"cell1340",279.742561979219,235.860442742705,0.207390031428055,"A"
"cell1266",393.458866979927,46.293978812173,1.490738933422,"A"
"cell1464",331.795465201139,128.149377647787,1.01724367877955,"A"
"cell758",225.133402971551,529.290451202542,0.358412150948218,"A"
"cell818",916.859527118504,416.924799326807,-1.55326206782565,"B"
"cell247",428.750370861962,289.584968937561,-0.540268290755596,"B"
"cell751",496.685219928622,596.191750140861,-0.0633526482491061,"B"
"cell219",953.732650028542,717.721335589886,-1.23016139859753,"B"
"cell135",928.615199634805,33.3322957158089,-1.38133194167717,"B"
"cell1959",525.764521211386,416.281843557954,-0.00578943755353728,"B"
"cell1956",289.669456658885,132.664274657145,1.54779380675081,"A"
"cell377",333.520805696025,980.950295459479,-1.19352386121861,"B"
"cell408",781.017540255561,776.669898070395,-0.537753278611106,"B"
"cell1878",249.05545799993,36.6195442620665,0.152439084120425,"A"
"cell1589",412.587253144011,359.174565644935,-1.38019109248512,"B"
"cell912",789.231489412487,284.499722765759,-0.3715684691221,"B"
"cell467",715.833283727989,295.184599701315,-0.809819731564054,"B"
"cell1380",590.676085092127,564.409879501909,-0.538910102260601,"B"
"cell130",595.711996313184,767.450851621106,-1.23991496622084,"B"
"cell1089",906.323301140219,16.2454729434103,-1.49946852409805,"B"
"cell359",886.458750581369,444.637601496652,-0.593986833715335,"B"
"cell105",633.493264438584,156.136253383011,-0.826700675669561,"B"
"cell1148",275.177087867633,939.961823867634,-0.290617637985568,"B"
"cell1101",690.391705138609,366.680132923648,-0.487145729977024,"B"
"cell1242",501.958322711289,638.817836530507,0.207496504880788,"A"
"cell1634",89.3609160557389,412.231551017612,-0.223484662169317,"B"
"cell1218",38.8665851205587,392.214556923136,-1.13977258510412,"B"
"cell19",380.035179434344,840.897767804563,-1.72192010719942,"B"
"cell273",381.716351723298,115.354677662253,0.0737745455140709,"A"
"cell418",308.052448788658,704.655513167381,0.142728059137118,"A"
"cell1567",652.254128362983,492.609065724537,0.0181707768512925,"A"
"cell419",695.012246258557,919.051357079297,-0.455330265857607,"B"
"cell867",490.028424886987,832.475731614977,-1.75384473413064,"B"
"cell686",505.843024002388,764.742906205356,-1.02766756712409,"B"
"cell403",954.378136899322,972.770247841254,-1.21774004156309,"B"
"cell1773",170.088279992342,316.101830685511,0.0335907800793583,"A"
"cell1611",429.381913272664,978.706541005522,-1.83845254928506,"B"
"cell1040",152.667565271258,337.498082546517,-1.40828068739614,"B"
"cell1064",163.207626901567,610.543699702248,0.516958559650978,"A"
"cell1828",434.170939493924,581.832582363859,0.304080270984419,"A"
"cell604",749.821664998308,586.245939601213,0.236416544384321,"A"
"cell634",828.534359810874,244.762477930635,-1.546991344637,"B"
"cell664",623.435709392652,231.853017117828,0.0629907014473645,"A"
"cell1162",282.58189978078,130.751208867878,1.18510452106649,"A"
"cell719",422.595157986507,207.538184709847,0.878275413306387,"A"
"cell1603",33.9188734069467,719.509370625019,-1.23414944425925,"B"
"cell997",635.949848685414,106.805441435426,-1.14755593872384,"B"
"cell761",777.14498527348,247.774575836957,-1.54120487129685,"B"
"cell672",522.248276043683,845.313196536154,-1.2219627922019,"B"
"cell229",417.85625834018,80.3224456030875,1.04818320245716,"A"
"cell423",663.010967662558,903.967918362468,-1.67964230330028,"B"
"cell421",434.717640746385,55.8548604603857,0.279140219935535,"A"
"cell989",999.930593650788,909.955336013809,-1.36097992108446,"B"
"cell140",507.641822332516,441.115951864049,-0.325366096727001,"B"
"cell126",453.895489219576,655.78800602816,-0.421442551595671,"B"
"cell1550",657.836067024618,98.172070691362,-2.13949593959007,"B"
"cell1532",283.779508899897,958.52635265328,-0.797159496025899,"B"
"cell998",282.136296620592,253.757920349017,0.163300051361196,"A"
"cell1846",65.3892939444631,265.910958871245,-1.93434341176953,"B"
"cell1795",887.757665943354,801.994697889313,-1.28805412869789,"B"
"cell271",62.2140523046255,875.76876883395,0.0629518500103409,"A"
"cell1154",864.617826649919,774.058116134256,-0.731420022078097,"B"
"cell577",667.747627478093,930.202217539772,-1.08768864015986,"B"
