,neighbor,probability,distance,reference,id,perm
0,Allantois,23.67735,112.969986,Allantois,0,1
1,Allantois,14.62477,177.80042,Allantois,0,1
2,Allantois,12.864976,242.63086,Allantois,0,1
3,Allantois,9.606204,307.46127,Allantois,0,1
4,Allantois,7.013853,372.29172,Allantois,0,1
5,Allantois,5.834981,437.12216,Allantois,0,1
6,Allantois,6.3485107,501.95258,Allantois,0,1
7,Allantois,5.383321,566.783,Allantois,0,1
8,Allantois,3.348461,631.61346,Allantois,0,1
9,Allantois,3.590306,696.4439,Allantois,0,1
10,Allantois,2.4062357,761.27435,Allantois,0,1
11,Allantois,2.302942,826.10474,Allantois,0,1
12,Allantois,1.5379701,890.9352,Allantois,0,1
13,Allantois,1.5120211,955.7656,Allantois,0,1
14,Allantois,1.3273622,1020.59607,Allantois,0,1
15,Allantois,0.7515379,1085.4265,Allantois,0,1
16,Allantois,0.7110675,1150.257,Allantois,0,1
17,Allantois,0.8431768,1215.0874,Allantois,0,1
18,Allantois,0.63052005,1279.9178,Allantois,0,1
19,Allantois,0.38505504,1344.7482,Allantois,0,1
20,Allantois,0.5624979,1409.5786,Allantois,0,1
21,Allantois,0.46615797,1474.409,Allantois,0,1
22,Allantois,0.28548002,1539.2395,Allantois,0,1
23,Allantois,0.26933798,1604.07,Allantois,0,1
24,Allantois,0.27141213,1668.9004,Allantois,0,1
25,Allantois,0.2737928,1733.7308,Allantois,0,1
26,Allantois,0.26134357,1798.5613,Allantois,0,1
27,Allantois,0.2632589,1863.3917,Allantois,0,1
28,Allantois,0.3419217,1928.2222,Allantois,0,1
29,Allantois,0.28094485,1993.0526,Allantois,0,1
30,Allantois,0.1982664,2057.883,Allantois,0,1
31,Allantois,0.18555026,2122.7134,Allantois,0,1
32,Allantois,0.2835467,2187.544,Allantois,0,1
33,Allantois,0.18747318,2252.3743,Allantois,0,1
34,Allantois,0.3921671,2317.2048,Allantois,0,1
35,Allantois,0.28344664,2382.0352,Allantois,0,1
36,Allantois,0.43211764,2446.8657,Allantois,0,1
37,Allantois,0.35437635,2511.696,Allantois,0,1
38,Allantois,0.34267187,2576.5264,Allantois,0,1
39,Allantois,0.58507717,2641.357,Allantois,0,1
40,Allantois,0.63423026,2706.1873,Allantois,0,1
41,Allantois,0.78375345,2771.0178,Allantois,0,1
42,Allantois,0.934155,2835.8481,Allantois,0,1
43,Allantois,1.297547,2900.6787,Allantois,0,1
44,Allantois,1.603375,2965.509,Allantois,0,1
45,Allantois,1.4646498,3030.3396,Allantois,0,1
46,Allantois,1.3779294,3095.17,Allantois,0,1
47,Allantois,1.1078066,3160.0005,Allantois,0,1
48,Allantois,1.3841383,3224.8308,Allantois,0,1
49,Anterior somitic tissues,0.0,112.969986,Allantois,0,1
50,Anterior somitic tissues,0.13932604,177.80042,Allantois,0,1
51,Anterior somitic tissues,0.10025242,242.63086,Allantois,0,1
52,Anterior somitic tissues,0.19272211,307.46127,Allantois,0,1
53,Anterior somitic tissues,0.13165477,372.29172,Allantois,0,1
54,Anterior somitic tissues,0.1383662,437.12216,Allantois,0,1
55,Anterior somitic tissues,0.15167578,501.95258,Allantois,0,1
56,Anterior somitic tissues,0.109542154,566.783,Allantois,0,1
57,Anterior somitic tissues,0.15986203,631.61346,Allantois,0,1
58,Anterior somitic tissues,0.20583391,696.4439,Allantois,0,1
59,Anterior somitic tissues,0.19795403,761.27435,Allantois,0,1
60,Anterior somitic tissues,0.28881776,826.10474,Allantois,0,1
61,Anterior somitic tissues,0.40972397,890.9352,Allantois,0,1
62,Anterior somitic tissues,0.6137027,955.7656,Allantois,0,1
63,Anterior somitic tissues,0.6361292,1020.59607,Allantois,0,1
64,Anterior somitic tissues,0.8262186,1085.4265,Allantois,0,1
65,Anterior somitic tissues,0.6348234,1150.257,Allantois,0,1
66,Anterior somitic tissues,0.69199914,1215.0874,Allantois,0,1
67,Anterior somitic tissues,0.39275888,1279.9178,Allantois,0,1
68,Anterior somitic tissues,0.520396,1344.7482,Allantois,0,1
69,Anterior somitic tissues,0.45552632,1409.5786,Allantois,0,1
70,Anterior somitic tissues,0.39356658,1474.409,Allantois,0,1
71,Anterior somitic tissues,0.32687977,1539.2395,Allantois,0,1
72,Anterior somitic tissues,0.33402345,1604.07,Allantois,0,1
73,Anterior somitic tissues,0.4558439,1668.9004,Allantois,0,1
74,Anterior somitic tissues,0.43728977,1733.7308,Allantois,0,1
75,Anterior somitic tissues,0.5452488,1798.5613,Allantois,0,1
76,Anterior somitic tissues,0.63148516,1863.3917,Allantois,0,1
77,Anterior somitic tissues,0.5456066,1928.2222,Allantois,0,1
78,Anterior somitic tissues,0.71151966,1993.0526,Allantois,0,1
79,Anterior somitic tissues,0.90084714,2057.883,Allantois,0,1
80,Anterior somitic tissues,0.87464136,2122.7134,Allantois,0,1
81,Anterior somitic tissues,0.8449328,2187.544,Allantois,0,1
82,Anterior somitic tissues,1.025058,2252.3743,Allantois,0,1
83,Anterior somitic tissues,0.96965075,2317.2048,Allantois,0,1
84,Anterior somitic tissues,0.97249347,2382.0352,Allantois,0,1
85,Anterior somitic tissues,0.8904114,2446.8657,Allantois,0,1
86,Anterior somitic tissues,1.1918391,2511.696,Allantois,0,1
87,Anterior somitic tissues,1.2435724,2576.5264,Allantois,0,1
88,Anterior somitic tissues,1.6222621,2641.357,Allantois,0,1
89,Anterior somitic tissues,1.8496463,2706.1873,Allantois,0,1
90,Anterior somitic tissues,2.0890296,2771.0178,Allantois,0,1
91,Anterior somitic tissues,1.834131,2835.8481,Allantois,0,1
92,Anterior somitic tissues,2.0146055,2900.6787,Allantois,0,1
93,Anterior somitic tissues,2.0992024,2965.509,Allantois,0,1
