,neighbor,Z,scale,reference,id,perm
0,A,3.4698737,53.210125,A,0,1
1,A,3.0437765,81.325584,A,0,1
2,A,2.6785433,109.44105,A,0,1
3,A,2.3091862,137.5565,A,0,1
4,A,1.9531105,165.67197,A,0,1
5,A,1.6239442,193.78743,A,0,1
6,A,1.3799807,221.90288,A,0,1
7,A,1.2473825,250.01834,A,0,1
8,A,1.1774602,278.1338,A,0,1
9,A,1.1383276,306.24927,A,0,1
10,A,1.1041044,334.36472,A,0,1
11,A,1.0822713,362.4802,A,0,1
12,A,1.0330861,390.59564,A,0,1
13,A,0.9300802,418.7111,A,0,1
14,A,0.7962658,446.82657,A,0,1
15,A,0.65723747,474.94202,A,0,1
16,A,0.518725,503.0575,A,0,1
17,A,0.4240254,531.1729,A,0,1
18,A,0.3372072,559.2884,A,0,1
19,A,0.28557888,587.4039,A,0,1
20,A,0.30759078,615.51935,A,0,1
21,A,0.39175165,643.63477,A,0,1
22,A,0.47175902,671.75024,A,0,1
23,A,0.5605708,699.8657,A,0,1
24,A,0.65281427,727.98114,A,0,1
25,A,0.7443209,756.0966,A,0,1
26,A,0.8365111,784.2121,A,0,1
27,A,0.9313711,812.3275,A,0,1
28,A,1.0467198,840.443,A,0,1
29,A,1.1459253,868.5585,A,0,1
30,A,1.2642338,896.67395,A,0,1
31,A,1.3792603,924.78937,A,0,1
32,A,1.4882784,952.90485,A,0,1
33,A,1.5701289,981.0203,A,0,1
34,A,1.6085637,1009.13574,A,0,1
35,A,1.5957898,1037.2512,A,0,1
36,A,1.5434581,1065.3667,A,0,1
37,A,1.4683015,1093.4822,A,0,1
38,A,1.3605965,1121.5977,A,0,1
39,A,1.2652929,1149.713,A,0,1
40,A,1.1590136,1177.8285,A,0,1
41,A,1.0743811,1205.944,A,0,1
42,A,1.0042342,1234.0594,A,0,1
43,A,0.9667877,1262.1749,A,0,1
44,A,0.9512527,1290.2904,A,0,1
45,A,0.94691116,1318.4058,A,0,1
46,A,0.94143355,1346.5212,A,0,1
47,A,0.9431592,1374.6367,A,0,1
48,A,0.93473566,1402.7522,A,0,1
49,B,1.076794,53.210125,A,0,1
50,B,1.6685107,81.325584,A,0,1
51,B,2.2370658,109.44105,A,0,1
52,B,2.7391968,137.5565,A,0,1
