,neighbor,probability,distance,reference,id,perm
0,Astrocytes,1.1441519,119.67351,Astrocytes,0,1
1,Astrocytes,1.1690404,149.91208,Astrocytes,0,1
2,Astrocytes,1.1291436,180.15063,Astrocytes,0,1
3,Astrocytes,1.182155,210.3892,Astrocytes,0,1
4,Astrocytes,1.2338029,240.62778,Astrocytes,0,1
5,Astrocytes,1.1611701,270.86633,Astrocytes,0,1
6,Astrocytes,1.1825391,301.10492,Astrocytes,0,1
7,Astrocytes,1.2034408,331.34348,Astrocytes,0,1
8,Astrocytes,1.1506616,361.58203,Astrocytes,0,1
9,Astrocytes,1.1552887,391.82062,Astrocytes,0,1
10,Astrocytes,1.1023319,422.05917,Astrocytes,0,1
11,Astrocytes,1.0938233,452.29776,Astrocytes,0,1
12,Astrocytes,1.0557537,482.53632,Astrocytes,0,1
13,Astrocytes,1.0653492,512.7749,Astrocytes,0,1
14,Astrocytes,1.0621753,543.0134,Astrocytes,0,1
15,Astrocytes,1.024189,573.252,Astrocytes,0,1
16,Astrocytes,1.0839236,603.4906,Astrocytes,0,1
17,Astrocytes,1.06233,633.7291,Astrocytes,0,1
18,Astrocytes,1.0351518,663.9677,Astrocytes,0,1
19,Astrocytes,1.0177697,694.2063,Astrocytes,0,1
20,Astrocytes,1.013801,724.4449,Astrocytes,0,1
21,Astrocytes,1.0117347,754.6834,Astrocytes,0,1
22,Astrocytes,1.0122193,784.922,Astrocytes,0,1
23,Astrocytes,1.0097289,815.1606,Astrocytes,0,1
24,Astrocytes,1.0123681,845.3991,Astrocytes,0,1
25,Astrocytes,0.9571705,875.6377,Astrocytes,0,1
26,Astrocytes,0.98106414,905.8763,Astrocytes,0,1
27,Astrocytes,0.948655,936.1148,Astrocytes,0,1
28,Astrocytes,0.99718505,966.3534,Astrocytes,0,1
29,Astrocytes,0.98055696,996.592,Astrocytes,0,1
30,Astrocytes,0.99258864,1026.8306,Astrocytes,0,1
31,Astrocytes,0.94743747,1057.0691,Astrocytes,0,1
32,Astrocytes,0.96404016,1087.3076,Astrocytes,0,1
33,Astrocytes,1.0026118,1117.5463,Astrocytes,0,1
34,Astrocytes,0.97541547,1147.7848,Astrocytes,0,1
35,Astrocytes,0.9595362,1178.0233,Astrocytes,0,1
36,Astrocytes,0.97338295,1208.262,Astrocytes,0,1
37,Astrocytes,0.984119,1238.5005,Astrocytes,0,1
38,Astrocytes,1.015325,1268.7391,Astrocytes,0,1
39,Astrocytes,0.9688535,1298.9777,Astrocytes,0,1
40,Astrocytes,0.973618,1329.2162,Astrocytes,0,1
41,Astrocytes,0.96756047,1359.4548,Astrocytes,0,1
42,Astrocytes,0.99046975,1389.6934,Astrocytes,0,1
43,Astrocytes,0.94992083,1419.9319,Astrocytes,0,1
44,Astrocytes,0.9858409,1450.1705,Astrocytes,0,1
45,Astrocytes,0.9779412,1480.409,Astrocytes,0,1
46,Astrocytes,1.0053289,1510.6476,Astrocytes,0,1
47,Astrocytes,0.97337186,1540.8862,Astrocytes,0,1
48,Astrocytes,0.99109286,1571.1248,Astrocytes,0,1
49,Bergmann,1.0736645,119.67351,Astrocytes,0,1
50,Bergmann,0.96988535,149.91208,Astrocytes,0,1
51,Bergmann,0.88637906,180.15063,Astrocytes,0,1
52,Bergmann,0.92644197,210.3892,Astrocytes,0,1
53,Bergmann,0.95390975,240.62778,Astrocytes,0,1
54,Bergmann,0.9850158,270.86633,Astrocytes,0,1
55,Bergmann,0.97439456,301.10492,Astrocytes,0,1
56,Bergmann,0.94830906,331.34348,Astrocytes,0,1
57,Bergmann,0.93139815,361.58203,Astrocytes,0,1
58,Bergmann,0.9472727,391.82062,Astrocytes,0,1
59,Bergmann,0.9392661,422.05917,Astrocytes,0,1
60,Bergmann,0.9073608,452.29776,Astrocytes,0,1
61,Bergmann,0.87915176,482.53632,Astrocytes,0,1
62,Bergmann,0.9106138,512.7749,Astrocytes,0,1
63,Bergmann,0.91826624,543.0134,Astrocytes,0,1
64,Bergmann,0.95953006,573.252,Astrocytes,0,1
65,Bergmann,0.9782643,603.4906,Astrocytes,0,1
66,Bergmann,0.98392683,633.7291,Astrocytes,0,1
67,Bergmann,0.97135144,663.9677,Astrocytes,0,1
68,Bergmann,0.9615416,694.2063,Astrocytes,0,1
69,Bergmann,0.9685321,724.4449,Astrocytes,0,1
70,Bergmann,0.9750284,754.6834,Astrocytes,0,1
71,Bergmann,0.9842067,784.922,Astrocytes,0,1
72,Bergmann,1.0215286,815.1606,Astrocytes,0,1
73,Bergmann,0.9918568,845.3991,Astrocytes,0,1
74,Bergmann,0.98622143,875.6377,Astrocytes,0,1
75,Bergmann,1.008589,905.8763,Astrocytes,0,1
76,Bergmann,1.0238086,936.1148,Astrocytes,0,1
77,Bergmann,1.023964,966.3534,Astrocytes,0,1
78,Bergmann,0.9843587,996.592,Astrocytes,0,1
79,Bergmann,1.0125684,1026.8306,Astrocytes,0,1
80,Bergmann,1.0030874,1057.0691,Astrocytes,0,1
81,Bergmann,0.9974272,1087.3076,Astrocytes,0,1
82,Bergmann,1.0117886,1117.5463,Astrocytes,0,1
83,Bergmann,1.0136194,1147.7848,Astrocytes,0,1
84,Bergmann,1.01259,1178.0233,Astrocytes,0,1
85,Bergmann,0.984535,1208.262,Astrocytes,0,1
86,Bergmann,1.0326749,1238.5005,Astrocytes,0,1
87,Bergmann,1.0118678,1268.7391,Astrocytes,0,1
88,Bergmann,1.0324265,1298.9777,Astrocytes,0,1
89,Bergmann,1.029757,1329.2162,Astrocytes,0,1
90,Bergmann,1.0497389,1359.4548,Astrocytes,0,1
91,Bergmann,1.0181179,1389.6934,Astrocytes,0,1
92,Bergmann,1.0173699,1419.9319,Astrocytes,0,1
93,Bergmann,1.0173799,1450.1705,Astrocytes,0,1
94,Bergmann,1.0184582,1480.409,Astrocytes,0,1
95,Bergmann,1.0397149,1510.6476,Astrocytes,0,1
96,Bergmann,1.032685,1540.8862,Astrocytes,0,1
97,Bergmann,1.0366032,1571.1248,Astrocytes,0,1
98,Candelabrum,1.2155987,119.67351,Astrocytes,0,1
99,Candelabrum,1.108221,149.91208,Astrocytes,0,1
100,Candelabrum,0.9481568,180.15063,Astrocytes,0,1
101,Candelabrum,1.1037407,210.3892,Astrocytes,0,1
102,Candelabrum,1.0663202,240.62778,Astrocytes,0,1
103,Candelabrum,0.8861622,270.86633,Astrocytes,0,1
104,Candelabrum,1.0075521,301.10492,Astrocytes,0,1
105,Candelabrum,1.1870332,331.34348,Astrocytes,0,1
106,Candelabrum,1.2971344,361.58203,Astrocytes,0,1
107,Candelabrum,0.9632146,391.82062,Astrocytes,0,1
108,Candelabrum,1.2360661,422.05917,Astrocytes,0,1
109,Candelabrum,1.029048,452.29776,Astrocytes,0,1
110,Candelabrum,1.2962059,482.53632,Astrocytes,0,1
111,Candelabrum,0.93905044,512.7749,Astrocytes,0,1
112,Candelabrum,1.214281,543.0134,Astrocytes,0,1
113,Candelabrum,1.2508444,573.252,Astrocytes,0,1
114,Candelabrum,1.1654564,603.4906,Astrocytes,0,1
115,Candelabrum,1.0859934,633.7291,Astrocytes,0,1
116,Candelabrum,1.2328074,663.9677,Astrocytes,0,1
117,Candelabrum,1.1097343,694.2063,Astrocytes,0,1
118,Candelabrum,1.0968949,724.4449,Astrocytes,0,1
119,Candelabrum,0.9010746,754.6834,Astrocytes,0,1
120,Candelabrum,1.0329683,784.922,Astrocytes,0,1
121,Candelabrum,1.1526926,815.1606,Astrocytes,0,1
122,Candelabrum,1.0288618,845.3991,Astrocytes,0,1
123,Candelabrum,1.0161254,875.6377,Astrocytes,0,1
124,Candelabrum,0.9657971,905.8763,Astrocytes,0,1
125,Candelabrum,0.96587247,936.1148,Astrocytes,0,1
126,Candelabrum,1.0143398,966.3534,Astrocytes,0,1
127,Candelabrum,1.1130064,996.592,Astrocytes,0,1
128,Candelabrum,0.9845026,1026.8306,Astrocytes,0,1
129,Candelabrum,1.1738569,1057.0691,Astrocytes,0,1
130,Candelabrum,1.1333407,1087.3076,Astrocytes,0,1
131,Candelabrum,0.89425224,1117.5463,Astrocytes,0,1
132,Candelabrum,1.0331056,1147.7848,Astrocytes,0,1
133,Candelabrum,1.2320906,1178.0233,Astrocytes,0,1
134,Candelabrum,0.9833083,1208.262,Astrocytes,0,1
135,Candelabrum,0.92261934,1238.5005,Astrocytes,0,1
136,Candelabrum,1.0338825,1268.7391,Astrocytes,0,1
137,Candelabrum,0.8671659,1298.9777,Astrocytes,0,1
138,Candelabrum,1.0304399,1329.2162,Astrocytes,0,1
139,Candelabrum,0.907857,1359.4548,Astrocytes,0,1
140,Candelabrum,1.0699204,1389.6934,Astrocytes,0,1
141,Candelabrum,0.8953145,1419.9319,Astrocytes,0,1
142,Candelabrum,1.0843016,1450.1705,Astrocytes,0,1
143,Candelabrum,1.0031611,1480.409,Astrocytes,0,1
144,Candelabrum,1.0125679,1510.6476,Astrocytes,0,1
145,Candelabrum,0.9522368,1540.8862,Astrocytes,0,1
146,Candelabrum,0.9948692,1571.1248,Astrocytes,0,1
147,Choroid,1.2404634,119.67351,Astrocytes,0,1
148,Choroid,0.6768558,149.91208,Astrocytes,0,1
149,Choroid,1.5247908,180.15063,Astrocytes,0,1
150,Choroid,1.8239816,210.3892,Astrocytes,0,1
151,Choroid,1.2037823,240.62778,Astrocytes,0,1
152,Choroid,1.1322474,270.86633,Astrocytes,0,1
153,Choroid,0.6274885,301.10492,Astrocytes,0,1
154,Choroid,0.643799,331.34348,Astrocytes,0,1
155,Choroid,0.78409415,361.58203,Astrocytes,0,1
156,Choroid,0.906644,391.82062,Astrocytes,0,1
157,Choroid,0.8783308,422.05917,Astrocytes,0,1
158,Choroid,0.93017626,452.29776,Astrocytes,0,1
159,Choroid,0.90091896,482.53632,Astrocytes,0,1
160,Choroid,0.9100366,512.7749,Astrocytes,0,1
161,Choroid,1.0597435,543.0134,Astrocytes,0,1
162,Choroid,1.1509651,573.252,Astrocytes,0,1
163,Choroid,1.185858,603.4906,Astrocytes,0,1
164,Choroid,1.1075042,633.7291,Astrocytes,0,1
165,Choroid,1.2011399,663.9677,Astrocytes,0,1
166,Choroid,1.2301011,694.2063,Astrocytes,0,1
167,Choroid,1.0945921,724.4449,Astrocytes,0,1
168,Choroid,1.5383519,754.6834,Astrocytes,0,1
169,Choroid,1.5225182,784.922,Astrocytes,0,1
170,Choroid,0.94181603,815.1606,Astrocytes,0,1
171,Choroid,0.8241564,845.3991,Astrocytes,0,1
172,Choroid,1.2075025,875.6377,Astrocytes,0,1
173,Choroid,1.4837457,905.8763,Astrocytes,0,1
174,Choroid,1.200449,936.1148,Astrocytes,0,1
175,Choroid,1.4723504,966.3534,Astrocytes,0,1
176,Choroid,0.9771029,996.592,Astrocytes,0,1
177,Choroid,1.4168103,1026.8306,Astrocytes,0,1
178,Choroid,1.3010576,1057.0691,Astrocytes,0,1
179,Choroid,1.50244,1087.3076,Astrocytes,0,1
180,Choroid,1.3442993,1117.5463,Astrocytes,0,1
181,Choroid,1.1869706,1147.7848,Astrocytes,0,1
182,Choroid,1.6589634,1178.0233,Astrocytes,0,1
183,Choroid,1.3176962,1208.262,Astrocytes,0,1
184,Choroid,1.3839036,1238.5005,Astrocytes,0,1
185,Choroid,0.96938026,1268.7391,Astrocytes,0,1
186,Choroid,1.0675788,1298.9777,Astrocytes,0,1
187,Choroid,1.1912032,1329.2162,Astrocytes,0,1
188,Choroid,1.0224541,1359.4548,Astrocytes,0,1
189,Choroid,1.2640855,1389.6934,Astrocytes,0,1
190,Choroid,1.7017716,1419.9319,Astrocytes,0,1
191,Choroid,1.6864029,1450.1705,Astrocytes,0,1
192,Choroid,1.6830305,1480.409,Astrocytes,0,1
193,Choroid,1.1236767,1510.6476,Astrocytes,0,1
194,Choroid,1.207136,1540.8862,Astrocytes,0,1
195,Choroid,1.3293701,1571.1248,Astrocytes,0,1
196,Endothelial,1.5288625,119.67351,Astrocytes,0,1
197,Endothelial,1.1414734,149.91208,Astrocytes,0,1
198,Endothelial,0.96377665,180.15063,Astrocytes,0,1
199,Endothelial,1.2149246,210.3892,Astrocytes,0,1
200,Endothelial,1.3383904,240.62778,Astrocytes,0,1
201,Endothelial,1.4265146,270.86633,Astrocytes,0,1
202,Endothelial,1.3635787,301.10492,Astrocytes,0,1
203,Endothelial,1.080044,331.34348,Astrocytes,0,1
204,Endothelial,1.2051356,361.58203,Astrocytes,0,1
205,Endothelial,1.1735349,391.82062,Astrocytes,0,1
206,Endothelial,1.0227529,422.05917,Astrocytes,0,1
207,Endothelial,1.0057713,452.29776,Astrocytes,0,1
208,Endothelial,1.1405642,482.53632,Astrocytes,0,1
209,Endothelial,1.0528206,512.7749,Astrocytes,0,1
210,Endothelial,0.94091654,543.0134,Astrocytes,0,1
211,Endothelial,1.0021341,573.252,Astrocytes,0,1
212,Endothelial,0.89732033,603.4906,Astrocytes,0,1
213,Endothelial,1.008413,633.7291,Astrocytes,0,1
214,Endothelial,1.1250592,663.9677,Astrocytes,0,1
215,Endothelial,0.94301045,694.2063,Astrocytes,0,1
216,Endothelial,0.9204979,724.4449,Astrocytes,0,1
217,Endothelial,0.9917709,754.6834,Astrocytes,0,1
218,Endothelial,0.9631451,784.922,Astrocytes,0,1
219,Endothelial,0.9464572,815.1606,Astrocytes,0,1
220,Endothelial,0.91459066,845.3991,Astrocytes,0,1
221,Endothelial,1.0327808,875.6377,Astrocytes,0,1
222,Endothelial,0.93954724,905.8763,Astrocytes,0,1
223,Endothelial,0.9237787,936.1148,Astrocytes,0,1
224,Endothelial,0.9150882,966.3534,Astrocytes,0,1
225,Endothelial,0.92617184,996.592,Astrocytes,0,1
226,Endothelial,0.9281808,1026.8306,Astrocytes,0,1
227,Endothelial,0.850101,1057.0691,Astrocytes,0,1
228,Endothelial,0.98039293,1087.3076,Astrocytes,0,1
229,Endothelial,0.953869,1117.5463,Astrocytes,0,1
230,Endothelial,0.96242154,1147.7848,Astrocytes,0,1
231,Endothelial,0.9999329,1178.0233,Astrocytes,0,1
232,Endothelial,0.92253035,1208.262,Astrocytes,0,1
233,Endothelial,0.97693706,1238.5005,Astrocytes,0,1
234,Endothelial,0.99236536,1268.7391,Astrocytes,0,1
235,Endothelial,0.90918905,1298.9777,Astrocytes,0,1
236,Endothelial,0.983636,1329.2162,Astrocytes,0,1
237,Endothelial,0.9852263,1359.4548,Astrocytes,0,1
238,Endothelial,0.89624774,1389.6934,Astrocytes,0,1
239,Endothelial,0.89738774,1419.9319,Astrocytes,0,1
240,Endothelial,1.0113834,1450.1705,Astrocytes,0,1
241,Endothelial,0.99722534,1480.409,Astrocytes,0,1
242,Endothelial,1.0853598,1510.6476,Astrocytes,0,1
243,Endothelial,1.1213422,1540.8862,Astrocytes,0,1
244,Endothelial,1.0995631,1571.1248,Astrocytes,0,1
245,Ependymal,0.6997486,119.67351,Astrocytes,0,1
246,Ependymal,1.0940198,149.91208,Astrocytes,0,1
247,Ependymal,1.4044126,180.15063,Astrocytes,0,1
248,Ependymal,1.246337,210.3892,Astrocytes,0,1
249,Ependymal,1.5222247,240.62778,Astrocytes,0,1
250,Ependymal,1.0750164,270.86633,Astrocytes,0,1
251,Ependymal,0.6783425,301.10492,Astrocytes,0,1
