"","x","y","celltypes"
"0",153.525805347505,-637.631289657786,"Low quality"
"1",149.141915986994,-611.730669931237,"Lateral plate mesoderm"
"2",202.464984517291,-665.24602138163,"Erythroid"
"3",205.534050237553,-568.987204620315,"Lateral plate mesoderm"
"4",202.076266433607,-678.072327239683,"Erythroid"
"5",205.245724261609,-604.236856080742,"Allantois"
"6",206.954952474469,-742.17110807966,"Gut tube"
"7",209.13062503072,-723.216441618107,"Endothelium"
"8",205.852210977093,-700.32889767557,"Low quality"
"9",207.123694656445,-595.249296298814,"Lateral plate mesoderm"
"10",209.905083882832,-582.373050329034,"Low quality"
"11",204.009230698267,-639.329044399458,"Erythroid"
"12",208.792636255742,-670.397661911942,"Erythroid"
"13",203.736192890391,-618.233094228655,"Haematoendothelial progenitors"
"14",209.608861157912,-742.22460207183,"Gut tube"
"15",206.550513753378,-631.722197441006,"Erythroid"
"16",211.733853601459,-609.678474277454,"Erythroid"
"17",204.118586228518,-603.441297674746,"Allantois"
"18",211.479695005466,-660.574058539981,"Erythroid"
"19",206.171112968011,-577.48047123347,"Lateral plate mesoderm"
"20",212.499319775856,-629.41072507063,"Erythroid"
"21",149.528988999279,-627.35100713079,"Lateral plate mesoderm"
"22",154.683144124917,-605.107001443651,"Intermediate mesoderm"
"23",206.166121323102,-718.189253195117,"Gut tube"
"24",212.844123864915,-570.032683204257,"Erythroid"
"25",207.555282454874,-567.61268399435,"Lateral plate mesoderm"
"26",213.203899761532,-644.304028156906,"Erythroid"
"27",209.972101570695,-729.265227828471,"Gut tube"
"28",215.265680198943,-637.780427692134,"Erythroid"
"29",210.006990663372,-671.364343365603,"Erythroid"
"30",213.867731892824,-733.498482999459,"Gut tube"
"31",209.751101268028,-659.2887723226,"Erythroid"
"32",216.357357402409,-714.023118958671,"Low quality"
"33",208.651234691809,-585.928811379006,"Allantois"
"34",214.875260945012,-599.162622330546,"Haematoendothelial progenitors"
"35",212.60804837575,-715.901425924115,"Gut tube"
"36",219.27872011563,-615.525523210465,"Low quality"
"37",212.220880102464,-709.284740304637,"Gut tube"
"38",212.127732001136,-608.415631382814,"Haematoendothelial progenitors"
"39",215.893989725947,-576.632499021383,"Erythroid"
"40",211.661447920817,-623.282304089081,"Erythroid"
"41",218.17480625705,-744.363450636326,"Gut tube"
"42",149.18214130021,-612.860258021541,"Lateral plate mesoderm"
"43",155.280796133978,-590.131835470141,"Endothelium"
"44",210.505898861625,-598.156666869456,"Allantois"
"45",217.19483833832,-652.655791187908,"Erythroid"
"46",211.951030684945,-645.050925824879,"Erythroid"
"47",217.757407961425,-730.152956565724,"Gut tube"
"48",215.269936113342,-587.591145729307,"Allantois"
"49",213.723175509727,-736.89970445137,"Gut tube"
"50",214.79392891115,-573.785582171849,"Lateral plate mesoderm"
"51",218.378972644757,-725.201674529485,"Haematoendothelial progenitors"
"52",214.60656563811,-703.320047036549,"Gut tube"
"53",221.868981967872,-702.884263643342,"Endothelium"
"54",215.67503395377,-615.650832014379,"Endothelium"
"55",221.047839196748,-737.809594569676,"Gut tube"
"56",215.863370177477,-723.237935869176,"Gut tube"
"57",222.565017919665,-721.43528467939,"Gut tube"
"58",216.789819155786,-697.255949998748,"Endothelium"
"59",226.926497483683,-655.844914308729,"Erythroid"
"60",216.313046671009,-652.734028427777,"Erythroid"
"61",220.961009886787,-629.791737432425,"Erythroid"
"62",150.781386867965,-597.823401749965,"Haematoendothelial progenitors"
"63",151.847617335956,-583.125674181988,"Endothelium"
"64",217.40506855235,-661.77948211821,"Erythroid"
"65",223.306870199398,-640.219819403607,"Erythroid"
"66",218.227175780972,-639.486238789866,"Erythroid"
"67",221.437482360447,-666.816737921531,"Erythroid"
"68",224.390548653651,-596.6232673718,"Haematoendothelial progenitors"
"69",225.066590953202,-597.425246739257,"Endothelium"
"70",220.39352853662,-629.90415083677,"Erythroid"
"71",226.597878899584,-735.320287990871,"Gut tube"
"72",221.494704526577,-669.519805136134,"Low quality"
"73",223.909623304327,-710.14345121045,"Gut tube"
"74",219.706572006596,-739.094682024404,"Gut tube"
"75",227.039903025603,-728.847160830989,"Gut tube"
"76",224.127325130379,-569.733319463059,"Allantois"
"77",229.718951329996,-584.863416592752,"Allantois"
"78",222.607302174557,-747.994926070721,"Gut tube"
"79",227.282172444856,-626.575811274305,"Erythroid"
"80",220.206595250466,-727.616243639235,"Low quality"
"81",226.095018443375,-743.073050753586,"Gut tube"
"82",222.930426313732,-620.15943036758,"Erythroid"
"83",228.787024523928,-646.47185309565,"Erythroid"
"84",150.329328957117,-581.865926340478,"Haematoendothelial progenitors"
"85",151.292520534504,-571.554144572406,"Intermediate mesoderm"
"86",221.914184961915,-648.105395932751,"Erythroid"
"87",228.241632759287,-749.889887542164,"Gut tube"
"88",221.838356385995,-706.873359464098,"Gut tube"
"89",230.036634257825,-710.876391465478,"Gut tube"
"90",220.858157130986,-716.718224463298,"Gut tube"
"91",229.749033621394,-665.190108215866,"Erythroid"
"92",224.72376634943,-609.312748813269,"Endothelium"
"93",221.56190674168,-581.282737048744,"Mixed mesenchymal mesoderm"
"94",230.965551164358,-618.056123420611,"Erythroid"
"95",224.804576834083,-732.980081993384,"Gut tube"
"96",222.528472579636,-693.905985264475,"Endothelium"
"97",231.076911545998,-723.284332687589,"Gut tube"
"98",223.260322250938,-686.248912624994,"Low quality"
"99",231.876421978276,-637.566680674329,"Erythroid"
"100",223.588509938723,-723.679762141182,"Gut tube"
"101",223.602359421807,-656.581226936719,"Erythroid"
"102",233.993648801993,-747.407440320751,"Gut tube"
"103",151.292275408955,-568.789196496672,"Intermediate mesoderm"
"104",152.381920119896,-613.746254552995,"Intermediate mesoderm"
"105",224.739065582357,-677.903106584239,"Gut tube"
"106",233.88172467475,-599.536586475424,"Low quality"
"107",227.00528017194,-636.85741471179,"Erythroid"
"108",233.059151909868,-629.134928379903,"Erythroid"
"109",228.904610051338,-586.207544741625,"Allantois"
"110",233.532224400067,-740.978574227793,"Gut tube"
"111",229.52984369815,-699.407760605707,"Gut tube"
"112",236.154745348348,-733.453840379946,"Gut tube"
"113",229.794816976529,-753.666416256396,"Gut tube"
"114",234.035176800316,-718.319733859446,"Gut tube"
"115",228.152400074096,-714.549379034331,"Gut tube"
"116",229.204350082792,-578.838807076838,"Allantois"
"117",235.437385203664,-676.447939141876,"Endothelium"
"118",227.336065331587,-719.847686227239,"Gut tube"
"119",229.782612233637,-662.151420096956,"Low quality"
"120",239.061923277454,-707.299440039316,"Gut tube"
"121",229.250546898654,-740.922821855571,"Gut tube"
"122",154.382418217215,-609.628081156861,"Lateral plate mesoderm"
"123",156.541410721728,-675.014187073203,"Endothelium"
"124",228.797509959749,-645.476450901305,"Erythroid"
"125",239.569029476953,-649.631813077274,"Erythroid"
"126",231.387097548294,-727.863585291089,"Gut tube"
"127",240.240062538429,-571.683528355818,"Mixed mesenchymal mesoderm"
"128",232.057502266938,-676.936540894652,"Gut tube"
"129",239.04160074849,-661.002994355901,"Erythroid"
"130",231.701331623731,-653.508542680173,"Erythroid"
"131",239.502551268646,-640.732192416551,"Erythroid"
"132",232.894158461144,-709.953743812846,"Gut tube"
"133",238.700503099093,-585.67114664232,"Mixed mesenchymal mesoderm"
"134",232.116815037085,-685.319841578572,"Low quality"
"135",239.25983736717,-623.9624531918,"Erythroid"
"136",231.939813710031,-617.800066417409,"Erythroid"
"137",241.225671293991,-724.791676725781,"Gut tube"
"138",234.338163101855,-629.53671564599,"Erythroid"
"139",240.870142613206,-699.817916087818,"Endothelium"
"140",235.091626942931,-673.369602901306,"Endothelium"
"141",241.84037495691,-632.704337792203,"Erythroid"
"142",233.51081288961,-605.4951742218,"Low quality"
"143",239.476469593447,-715.830058455225,"Gut tube"
"144",156.272764850461,-745.512286031976,"Erythroid"
"145",237.388752616821,-742.358517570946,"Gut tube"
"146",240.912140400731,-739.949470278542,"Gut tube"
"147",235.666213338995,-718.908349495461,"Gut tube"
"148",243.043190150774,-748.639232018394,"Gut tube"
"149",235.003480018483,-736.061145521505,"Gut tube"
"150",235.652527684643,-691.337210575735,"Low quality"
"151",245.624030932784,-580.651553271482,"Haematoendothelial progenitors"
"152",235.214232843499,-571.730950937402,"Mixed mesenchymal mesoderm"
"153",245.312798739466,-589.88340646705,"Endothelium"
"154",236.997857375908,-647.132300340721,"Erythroid"
"155",244.174907999255,-670.323759464829,"Low quality"
"156",239.131704736687,-640.510575758733,"Erythroid"
"157",247.286900506165,-656.382942960788,"Low quality"
"158",237.421685763305,-697.842445161213,"Gut tube"
"159",247.409319614705,-734.811043171419,"Gut tube"
"160",238.00352728394,-662.119164303753,"Erythroid"
"161",246.503866475286,-704.864099682222,"Endothelium"
"162",238.569259728831,-589.189703671076,"Allantois"
"163",246.661623317519,-595.208750005067,"Erythroid"
"164",157.197402182116,-678.643458583577,"Haematoendothelial progenitors"
"165",155.717235771127,-746.166851194386,"Erythroid"
"166",238.599870932579,-756.703925586033,"Gut tube"
"167",248.532310839419,-643.26187837782,"Erythroid"
"168",241.870840571293,-704.253260524382,"Gut tube"
"169",251.251766491936,-741.676497011103,"Gut tube"
"170",240.313206230214,-600.157578270289,"Erythroid"
"171",252.5120135779,-726.582412301013,"Haematoendothelial progenitors"
"172",242.993788595912,-567.689664388333,"Mixed mesenchymal mesoderm"
"173",251.503434825514,-748.951619986761,"Gut tube"
"174",242.276162234217,-584.641967312611,"Allantois"
"175",249.515814598106,-600.446622462546,"Erythroid"
"176",241.412982414509,-579.429251159094,"Allantois"
"177",250.722505933397,-571.585737660497,"Low quality"
"178",242.158508789231,-722.659579278186,"Gut tube"
"179",251.812827370639,-566.302948949353,"Low quality"
"180",242.019353969505,-752.951101346114,"Gut tube"
"181",242.722105118001,-729.817694041493,"Gut tube"
"182",253.841291461394,-651.767970599877,"Erythroid"
"183",248.440804600209,-611.292847893989,"Erythroid"
"184",254.528805971149,-665.233679024724,"Low quality"
"185",155.158501039219,-625.966100690977,"Lateral plate mesoderm"
"186",156.61295801445,-650.534667800001,"Allantois"
"187",243.310254176069,-620.78938882652,"Erythroid"
"188",244.110425183073,-653.90449234816,"Erythroid"
"189",244.150697062498,-670.887020364445,"Low quality"
"190",257.535167634412,-752.746934988944,"Gut tube"
"191",242.086904442761,-711.546137999337,"Gut tube"
"192",244.099946617772,-692.018265401537,"Low quality"
"193",259.381727554847,-569.848665607917,"Erythroid"
"194",243.954584747724,-632.574097595654,"Erythroid"
"195",259.680115097382,-741.678330178428,"Endothelium"
"196",243.150360663348,-746.499165214602,"Gut tube"
"197",261.055324164637,-649.272132503209,"Low quality"
"198",245.757357420304,-680.968663582454,"Endothelium"
"199",263.040590318279,-734.874565161268,"Endothelium"
"200",243.448721709159,-573.460329569409,"Lateral plate mesoderm"
"201",264.00213752451,-722.697620844532,"Low quality"
"202",245.468099327031,-735.034355231049,"Gut tube"
"203",266.403804958418,-748.086325765157,"Endothelium"
"204",151.03300186689,-754.272483486727,"Low quality"
"205",149.919502770025,-742.966702085601,"Erythroid"
"206",156.251391438179,-591.959319206202,"Haematoendothelial progenitors"
"207",156.13095886885,-617.579473653682,"Lateral plate mesoderm"
"208",245.342840171319,-594.505791533179,"Low quality"
"209",267.201729853487,-629.599383670492,"Low quality"
"210",245.342228879967,-741.132821067618,"Gut tube"
"211",266.432178236936,-619.659571319405,"Low quality"
"212",249.808089246317,-663.80284349923,"Low quality"
"213",266.882834449862,-762.50614692988,"Endothelium"
"214",247.973156624888,-714.459187165097,"Gut tube"
"215",265.610186941917,-598.159255511015,"Erythroid"
"216",249.681653676644,-754.165718715494,"Gut tube"
"217",250.054393971203,-643.859241779185,"Endothelium"
"218",267.998795027815,-711.548253260104,"Endothelium"
"219",249.988391304705,-601.51022327687,"Erythroid"
"220",250.690094326657,-576.967252831384,"Endothelium"
"221",250.588032288951,-764.522121817049,"Gut tube"
"222",252.000321085575,-708.1219043819,"Gut tube"
"223",269.392303217792,-664.247716789301,"Erythroid"
"224",155.486015351538,-573.521368174847,"Endothelium"
"225",158.303850310263,-579.407898720247,"Endothelium"
"226",270.694557061719,-731.425507411702,"Lateral plate mesoderm"
"227",249.760109146658,-685.436340026784,"Low quality"
"228",272.79037770315,-753.561513511659,"Endothelium"
"229",252.463650557779,-626.998151458663,"Erythroid"
"230",272.662899647567,-639.50325107614,"Endothelium"
"231",251.414219246354,-747.662979250012,"Gut tube"
"232",273.596087264579,-610.573278653087,"Endothelium"
"233",253.247683446341,-636.297511488891,"Low quality"
"234",274.856672451835,-742.062721485296,"Lateral plate mesoderm"
"235",250.978619371039,-732.91356153808,"Gut tube"
"236",253.797158449859,-722.850663147674,"Gut tube"
"237",276.654641832779,-720.853035585259,"Lateral plate mesoderm"
"238",253.364282003454,-594.640894414082,"Erythroid"
"239",278.274200415118,-767.895974993139,"Lateral plate mesoderm"
"240",252.191227807378,-740.62094503781,"Gut tube"
"241",279.805326119177,-710.118438459666,"Lateral plate mesoderm"
"242",253.516006923171,-675.787493633678,"Endothelium"
"243",276.002871224338,-627.541470077774,"Endothelium"
"244",156.650045011972,-664.784789497427,"Endothelium"
"245",158.443399614522,-599.450703319279,"Lateral plate mesoderm"
"246",279.439381026771,-735.423263219799,"Lateral plate mesoderm"
