,neighbor,probability,distance,reference,id,perm
0,A,2.0639222,11.183674,A,0,1
1,A,1.6092334,21.367348,A,0,1
2,A,1.3621892,31.55102,A,0,1
3,A,1.4606868,41.734695,A,0,1
4,A,1.2640015,51.918365,A,0,1
5,A,1.2929991,62.10204,A,0,1
6,A,1.312313,72.28571,A,0,1
7,A,1.2208799,82.46939,A,0,1
8,A,1.1053634,92.65306,A,0,1
9,A,1.1847478,102.83673,A,0,1
10,A,1.2011057,113.02041,A,0,1
11,A,1.0991905,123.20408,A,0,1
12,A,1.0902386,133.38776,A,0,1
13,A,1.0860417,143.57143,A,0,1
14,A,1.0622113,153.7551,A,0,1
15,A,1.0350744,163.93878,A,0,1
16,A,1.0177518,174.12245,A,0,1
17,A,1.0527778,184.30612,A,0,1
18,A,1.0228223,194.48979,A,0,1
19,A,0.9506574,204.67346,A,0,1
20,A,0.9159829,214.85715,A,0,1
21,A,0.9285259,225.04082,A,0,1
22,A,0.9134452,235.22449,A,0,1
23,A,0.9102584,245.40816,A,0,1
24,A,0.9339468,255.59184,A,0,1
25,A,0.91044456,265.7755,A,0,1
26,A,0.8941549,275.9592,A,0,1
27,A,0.8966597,286.14285,A,0,1
28,A,0.89077425,296.32654,A,0,1
29,A,0.90821683,306.5102,A,0,1
30,A,0.88345027,316.69388,A,0,1
31,A,0.9648766,326.87756,A,0,1
32,A,0.9430654,337.06122,A,0,1
33,A,0.90135026,347.2449,A,0,1
34,A,0.9533585,357.42856,A,0,1
35,A,0.94063896,367.61224,A,0,1
36,A,0.95245296,377.79593,A,0,1
37,A,0.94155914,387.97958,A,0,1
38,A,0.9731348,398.16327,A,0,1
39,A,0.97051597,408.34692,A,0,1
40,A,1.0806056,418.5306,A,0,1
41,A,1.0266594,428.7143,A,0,1
42,A,1.0457332,438.89795,A,0,1
43,A,1.020482,449.08163,A,0,1
44,A,0.99695665,459.26532,A,0,1
45,A,0.9983284,469.44897,A,0,1
46,A,1.0034702,479.63266,A,0,1
47,A,0.98965496,489.8163,A,0,1
48,A,1.0269327,500.0,A,0,1
49,B,0.50116026,11.183674,A,0,1
50,B,0.5167861,21.367348,A,0,1
51,B,0.724216,31.55102,A,0,1
52,B,0.69432664,41.734695,A,0,1
53,B,0.76858133,51.918365,A,0,1
54,B,0.77850544,62.10204,A,0,1
55,B,0.82132334,72.28571,A,0,1
56,B,0.83160204,82.46939,A,0,1
57,B,0.90956634,92.65306,A,0,1
58,B,0.8659753,102.83673,A,0,1
59,B,0.91317564,113.02041,A,0,1
60,B,0.95064163,123.20408,A,0,1
61,B,0.9386357,133.38776,A,0,1
62,B,0.9187517,143.57143,A,0,1
63,B,0.94385564,153.7551,A,0,1
64,B,0.9772498,163.93878,A,0,1
65,B,0.9649963,174.12245,A,0,1
66,B,0.9881477,184.30612,A,0,1
67,B,1.0191875,194.48979,A,0,1
68,B,1.0328635,204.67346,A,0,1
69,B,1.0212507,214.85715,A,0,1
70,B,1.0321136,225.04082,A,0,1
71,B,1.039433,235.22449,A,0,1
72,B,1.0263841,245.40816,A,0,1
73,B,1.07329,255.59184,A,0,1
