,neighbor,probability,distance,reference,id,perm
0,Allantois,28.236528,21.387754,Allantois,0,1
1,Allantois,14.861053,41.77551,Allantois,0,1
2,Allantois,11.182205,62.163265,Allantois,0,1
3,Allantois,7.5561895,82.55102,Allantois,0,1
4,Allantois,5.412055,102.938774,Allantois,0,1
5,Allantois,5.650304,123.32653,Allantois,0,1
6,Allantois,3.4340847,143.71428,Allantois,0,1
7,Allantois,2.8402011,164.10204,Allantois,0,1
8,Allantois,2.2029388,184.48979,Allantois,0,1
9,Allantois,1.3320987,204.87755,Allantois,0,1
10,Allantois,1.3708256,225.2653,Allantois,0,1
11,Allantois,0.7494336,245.65306,Allantois,0,1
12,Allantois,0.76548576,266.0408,Allantois,0,1
13,Allantois,0.48365623,286.42856,Allantois,0,1
14,Allantois,0.46464074,306.8163,Allantois,0,1
15,Allantois,0.45571944,327.20407,Allantois,0,1
16,Allantois,0.26398355,347.59183,Allantois,0,1
17,Allantois,0.2582247,367.97958,Allantois,0,1
18,Allantois,0.29577565,388.36734,Allantois,0,1
19,Allantois,0.22042896,408.7551,Allantois,0,1
20,Allantois,0.3939873,429.14285,Allantois,0,1
21,Allantois,0.24228606,449.5306,Allantois,0,1
22,Allantois,0.18574145,469.91837,Allantois,0,1
23,Allantois,0.252347,490.30612,Allantois,0,1
24,Allantois,0.24876574,510.69388,Allantois,0,1
25,Allantois,0.36515698,531.0816,Allantois,0,1
26,Allantois,0.45697796,551.46936,Allantois,0,1
27,Allantois,0.40829673,571.8571,Allantois,0,1
28,Allantois,0.43821335,592.2449,Allantois,0,1
29,Allantois,0.6013514,612.6326,Allantois,0,1
30,Allantois,0.84340984,633.0204,Allantois,0,1
31,Allantois,1.1212302,653.40814,Allantois,0,1
32,Allantois,1.5266472,673.7959,Allantois,0,1
33,Allantois,1.5074434,694.18365,Allantois,0,1
34,Allantois,0.98635674,714.5714,Allantois,0,1
35,Allantois,1.2972893,734.95917,Allantois,0,1
36,Allantois,1.1773117,755.3469,Allantois,0,1
37,Allantois,1.192049,775.7347,Allantois,0,1
38,Allantois,0.9330575,796.12244,Allantois,0,1
39,Allantois,1.6818659,816.5102,Allantois,0,1
40,Allantois,2.36769,836.89795,Allantois,0,1
41,Allantois,1.556409,857.2857,Allantois,0,1
42,Allantois,2.0341475,877.67346,Allantois,0,1
43,Allantois,1.4583675,898.0612,Allantois,0,1
44,Allantois,1.045586,918.449,Allantois,0,1
45,Allantois,1.1709181,938.83673,Allantois,0,1
46,Allantois,0.76531166,959.2245,Allantois,0,1
47,Allantois,2.0554879,979.61224,Allantois,0,1
48,Allantois,2.1107638,1000.0,Allantois,0,1
49,Anterior somitic tissues,0.0,21.387754,Allantois,0,1
50,Anterior somitic tissues,0.09691488,41.77551,Allantois,0,1
51,Anterior somitic tissues,0.21373771,62.163265,Allantois,0,1
52,Anterior somitic tissues,0.09210459,82.55102,Allantois,0,1
53,Anterior somitic tissues,0.16714865,102.938774,Allantois,0,1
54,Anterior somitic tissues,0.12465144,123.32653,Allantois,0,1
55,Anterior somitic tissues,0.13479933,143.71428,Allantois,0,1
56,Anterior somitic tissues,0.2608893,164.10204,Allantois,0,1
57,Anterior somitic tissues,0.34181598,184.48979,Allantois,0,1
58,Anterior somitic tissues,0.5990826,204.87755,Allantois,0,1
59,Anterior somitic tissues,0.7301638,225.2653,Allantois,0,1
60,Anterior somitic tissues,0.66581035,245.65306,Allantois,0,1
61,Anterior somitic tissues,0.5774621,266.0408,Allantois,0,1
62,Anterior somitic tissues,0.43667892,286.42856,Allantois,0,1
63,Anterior somitic tissues,0.44941026,306.8163,Allantois,0,1
64,Anterior somitic tissues,0.3255376,327.20407,Allantois,0,1
65,Anterior somitic tissues,0.3251681,347.59183,Allantois,0,1
66,Anterior somitic tissues,0.34945437,367.97958,Allantois,0,1
67,Anterior somitic tissues,0.49582034,388.36734,Allantois,0,1
68,Anterior somitic tissues,0.67075807,408.7551,Allantois,0,1
69,Anterior somitic tissues,0.6178689,429.14285,Allantois,0,1
70,Anterior somitic tissues,0.74654096,449.5306,Allantois,0,1
71,Anterior somitic tissues,0.84390986,469.91837,Allantois,0,1
72,Anterior somitic tissues,0.8757742,490.30612,Allantois,0,1
73,Anterior somitic tissues,0.9997788,510.69388,Allantois,0,1
74,Anterior somitic tissues,1.0747843,531.0816,Allantois,0,1
75,Anterior somitic tissues,1.1705135,551.46936,Allantois,0,1
76,Anterior somitic tissues,1.4807365,571.8571,Allantois,0,1
77,Anterior somitic tissues,1.697885,592.2449,Allantois,0,1
78,Anterior somitic tissues,1.8494548,612.6326,Allantois,0,1
79,Anterior somitic tissues,2.0311596,633.0204,Allantois,0,1
80,Anterior somitic tissues,2.1474988,653.40814,Allantois,0,1
81,Anterior somitic tissues,2.0439491,673.7959,Allantois,0,1
82,Anterior somitic tissues,1.8270718,694.18365,Allantois,0,1
83,Anterior somitic tissues,1.7021397,714.5714,Allantois,0,1
84,Anterior somitic tissues,1.5425645,734.95917,Allantois,0,1
85,Anterior somitic tissues,1.4230869,755.3469,Allantois,0,1
86,Anterior somitic tissues,1.3354367,775.7347,Allantois,0,1
87,Anterior somitic tissues,0.8202874,796.12244,Allantois,0,1
88,Anterior somitic tissues,0.87265635,816.5102,Allantois,0,1
89,Anterior somitic tissues,0.8007704,836.89795,Allantois,0,1
90,Anterior somitic tissues,0.6943556,857.2857,Allantois,0,1
91,Anterior somitic tissues,0.44882745,877.67346,Allantois,0,1
92,Anterior somitic tissues,0.45805123,898.0612,Allantois,0,1
93,Anterior somitic tissues,0.51122814,918.449,Allantois,0,1
94,Anterior somitic tissues,0.4263399,938.83673,Allantois,0,1
95,Anterior somitic tissues,0.46612513,959.2245,Allantois,0,1
96,Anterior somitic tissues,0.74901134,979.61224,Allantois,0,1
97,Anterior somitic tissues,0.7688453,1000.0,Allantois,0,1
98,Cardiomyocytes,0.104055665,21.387754,Allantois,0,1
99,Cardiomyocytes,0.4807448,41.77551,Allantois,0,1
100,Cardiomyocytes,0.45055148,62.163265,Allantois,0,1
101,Cardiomyocytes,0.46168002,82.55102,Allantois,0,1
102,Cardiomyocytes,0.80701995,102.938774,Allantois,0,1
103,Cardiomyocytes,1.1852455,123.32653,Allantois,0,1
104,Cardiomyocytes,1.3522705,143.71428,Allantois,0,1
105,Cardiomyocytes,1.4235752,164.10204,Allantois,0,1
106,Cardiomyocytes,1.3703545,184.48979,Allantois,0,1
107,Cardiomyocytes,1.2314794,204.87755,Allantois,0,1
108,Cardiomyocytes,1.2185951,225.2653,Allantois,0,1
109,Cardiomyocytes,1.0563657,245.65306,Allantois,0,1
110,Cardiomyocytes,1.0329721,266.0408,Allantois,0,1
111,Cardiomyocytes,1.2245892,286.42856,Allantois,0,1
112,Cardiomyocytes,1.3479036,306.8163,Allantois,0,1
113,Cardiomyocytes,1.6626608,327.20407,Allantois,0,1
114,Cardiomyocytes,1.619424,347.59183,Allantois,0,1
115,Cardiomyocytes,1.4158353,367.97958,Allantois,0,1
116,Cardiomyocytes,1.309328,388.36734,Allantois,0,1
117,Cardiomyocytes,1.11844,408.7551,Allantois,0,1
118,Cardiomyocytes,0.9204861,429.14285,Allantois,0,1
119,Cardiomyocytes,0.7697978,449.5306,Allantois,0,1
120,Cardiomyocytes,0.59397167,469.91837,Allantois,0,1
121,Cardiomyocytes,0.4177098,490.30612,Allantois,0,1
122,Cardiomyocytes,0.2840448,510.69388,Allantois,0,1
123,Cardiomyocytes,0.24376233,531.0816,Allantois,0,1
124,Cardiomyocytes,0.26490217,551.46936,Allantois,0,1
125,Cardiomyocytes,0.35478088,571.8571,Allantois,0,1
126,Cardiomyocytes,0.42430657,592.2449,Allantois,0,1
127,Cardiomyocytes,0.40430388,612.6326,Allantois,0,1
128,Cardiomyocytes,0.34929666,633.0204,Allantois,0,1
129,Cardiomyocytes,0.3575463,653.40814,Allantois,0,1
130,Cardiomyocytes,0.5546286,673.7959,Allantois,0,1
131,Cardiomyocytes,0.6194176,694.18365,Allantois,0,1
132,Cardiomyocytes,0.5494549,714.5714,Allantois,0,1
133,Cardiomyocytes,0.60705453,734.95917,Allantois,0,1
134,Cardiomyocytes,0.7542414,755.3469,Allantois,0,1
135,Cardiomyocytes,1.1985004,775.7347,Allantois,0,1
136,Cardiomyocytes,1.8352973,796.12244,Allantois,0,1
137,Cardiomyocytes,1.9845676,816.5102,Allantois,0,1
138,Cardiomyocytes,1.9589535,836.89795,Allantois,0,1
139,Cardiomyocytes,2.0795295,857.2857,Allantois,0,1
140,Cardiomyocytes,3.0052695,877.67346,Allantois,0,1
141,Cardiomyocytes,4.939849,898.0612,Allantois,0,1
142,Cardiomyocytes,5.5725913,918.449,Allantois,0,1
143,Cardiomyocytes,5.033771,938.83673,Allantois,0,1
144,Cardiomyocytes,3.9845946,959.2245,Allantois,0,1
145,Cardiomyocytes,2.869522,979.61224,Allantois,0,1
146,Cardiomyocytes,1.832713,1000.0,Allantois,0,1
147,Cranial mesoderm,0.0,21.387754,Allantois,0,1
148,Cranial mesoderm,0.0,41.77551,Allantois,0,1
149,Cranial mesoderm,0.056619655,62.163265,Allantois,0,1
150,Cranial mesoderm,0.057245128,82.55102,Allantois,0,1
151,Cranial mesoderm,0.025514366,102.938774,Allantois,0,1
152,Cranial mesoderm,0.032399032,123.32653,Allantois,0,1
153,Cranial mesoderm,0.1472459,143.71428,Allantois,0,1
154,Cranial mesoderm,0.16800243,164.10204,Allantois,0,1
155,Cranial mesoderm,0.26465327,184.48979,Allantois,0,1
156,Cranial mesoderm,0.3894908,204.87755,Allantois,0,1
157,Cranial mesoderm,0.33891338,225.2653,Allantois,0,1
158,Cranial mesoderm,0.26494265,245.65306,Allantois,0,1
159,Cranial mesoderm,0.21432722,266.0408,Allantois,0,1
160,Cranial mesoderm,0.2962943,286.42856,Allantois,0,1
161,Cranial mesoderm,0.3264818,306.8163,Allantois,0,1
162,Cranial mesoderm,0.30974123,327.20407,Allantois,0,1
163,Cranial mesoderm,0.27056098,347.59183,Allantois,0,1
164,Cranial mesoderm,0.41079715,367.97958,Allantois,0,1
165,Cranial mesoderm,0.4515055,388.36734,Allantois,0,1
166,Cranial mesoderm,0.59437174,408.7551,Allantois,0,1
167,Cranial mesoderm,0.6496256,429.14285,Allantois,0,1
168,Cranial mesoderm,0.89649135,449.5306,Allantois,0,1
169,Cranial mesoderm,0.9652928,469.91837,Allantois,0,1
170,Cranial mesoderm,1.1761806,490.30612,Allantois,0,1
