,neighbor,probability,distance,reference,id,perm
0,A,3.8659804,21.387754,A,0,1
1,A,3.5897212,41.77551,A,0,1
2,A,3.2807,62.163265,A,0,1
3,A,2.9765444,82.55102,A,0,1
4,A,2.715086,102.938774,A,0,1
5,A,2.4522493,123.32653,A,0,1
6,A,2.1801267,143.71428,A,0,1
7,A,1.923534,164.10204,A,0,1
8,A,1.6951797,184.48979,A,0,1
9,A,1.4716204,204.87755,A,0,1
10,A,1.3372409,225.2653,A,0,1
11,A,1.2508351,245.65306,A,0,1
12,A,1.1948519,266.0408,A,0,1
13,A,1.1504177,286.42856,A,0,1
14,A,1.1374633,306.8163,A,0,1
15,A,1.1109625,327.20407,A,0,1
16,A,1.0903647,347.59183,A,0,1
17,A,1.0677013,367.97958,A,0,1
18,A,1.0323024,388.36734,A,0,1
19,A,0.9600307,408.7551,A,0,1
20,A,0.85839677,429.14285,A,0,1
21,A,0.7645622,449.5306,A,0,1
22,A,0.6648902,469.91837,A,0,1
23,A,0.5534054,490.30612,A,0,1
24,A,0.4808213,510.69388,A,0,1
25,A,0.4113111,531.0816,A,0,1
26,A,0.34841925,551.46936,A,0,1
27,A,0.2955349,571.8571,A,0,1
28,A,0.28422594,592.2449,A,0,1
29,A,0.30855408,612.6326,A,0,1
30,A,0.37228894,633.0204,A,0,1
31,A,0.42534316,653.40814,A,0,1
32,A,0.4939459,673.7959,A,0,1
33,A,0.555263,694.18365,A,0,1
34,A,0.6191015,714.5714,A,0,1
35,A,0.6909102,734.95917,A,0,1
36,A,0.75333893,755.3469,A,0,1
37,A,0.81777084,775.7347,A,0,1
38,A,0.8883676,796.12244,A,0,1
39,A,0.96815276,816.5102,A,0,1
40,A,1.0479459,836.89795,A,0,1
41,A,1.1184826,857.2857,A,0,1
42,A,1.1963493,877.67346,A,0,1
43,A,1.2883492,898.0612,A,0,1
44,A,1.3695242,918.449,A,0,1
45,A,1.4515885,938.83673,A,0,1
46,A,1.5230153,959.2245,A,0,1
47,A,1.5750145,979.61224,A,0,1
48,A,1.6067055,1000.0,A,0,1
49,B,0.4186874,21.387754,A,0,1
50,B,0.8701226,41.77551,A,0,1
51,B,1.3593199,62.163265,A,0,1
52,B,1.7431204,82.55102,A,0,1
53,B,2.2016816,102.938774,A,0,1
54,B,2.5513692,123.32653,A,0,1
55,B,2.8710213,143.71428,A,0,1
56,B,3.115853,164.10204,A,0,1
57,B,3.4238026,184.48979,A,0,1
58,B,3.5131307,204.87755,A,0,1
59,B,3.3504918,225.2653,A,0,1
60,B,2.964416,245.65306,A,0,1
61,B,2.5492666,266.0408,A,0,1
62,B,2.053529,286.42856,A,0,1
63,B,1.6189511,306.8163,A,0,1
64,B,1.2449569,327.20407,A,0,1
65,B,0.83733374,347.59183,A,0,1
66,B,0.47449976,367.97958,A,0,1
67,B,0.1812915,388.36734,A,0,1
68,B,0.013068574,408.7551,A,0,1
69,B,0.0,429.14285,A,0,1
70,B,0.0,449.5306,A,0,1
71,B,0.0,469.91837,A,0,1
72,B,0.0,490.30612,A,0,1
73,B,0.0,510.69388,A,0,1
74,B,0.0,531.0816,A,0,1
75,B,0.0,551.46936,A,0,1
76,B,0.0,571.8571,A,0,1
77,B,0.0,592.2449,A,0,1
78,B,0.00027315895,612.6326,A,0,1
79,B,0.022206297,633.0204,A,0,1
80,B,0.088890344,653.40814,A,0,1
81,B,0.21899684,673.7959,A,0,1
82,B,0.34347835,694.18365,A,0,1
83,B,0.50332403,714.5714,A,0,1
84,B,0.68434304,734.95917,A,0,1
85,B,0.94417864,755.3469,A,0,1
86,B,1.1352643,775.7347,A,0,1
87,B,1.3402476,796.12244,A,0,1
88,B,1.5385427,816.5102,A,0,1
89,B,1.6181154,836.89795,A,0,1
90,B,1.7284904,857.2857,A,0,1
91,B,1.726222,877.67346,A,0,1
92,B,1.7031999,898.0612,A,0,1
93,B,1.6552637,918.449,A,0,1
94,B,1.6051826,938.83673,A,0,1
95,B,1.5119611,959.2245,A,0,1
96,B,1.448657,979.61224,A,0,1
97,B,1.4135478,1000.0,A,0,1
98,C,0.36793745,21.387754,A,0,1
99,C,0.914798,41.77551,A,0,1
100,C,1.3580544,62.163265,A,0,1
101,C,1.72051,82.55102,A,0,1
102,C,2.208161,102.938774,A,0,1
103,C,2.5060532,123.32653,A,0,1
104,C,2.8436007,143.71428,A,0,1
105,C,3.1362085,164.10204,A,0,1
106,C,3.3759034,184.48979,A,0,1
107,C,3.5204551,204.87755,A,0,1
108,C,3.3364475,225.2653,A,0,1
109,C,2.943869,245.65306,A,0,1
110,C,2.4714541,266.0408,A,0,1
111,C,2.0894675,286.42856,A,0,1
112,C,1.6442395,306.8163,A,0,1
113,C,1.2110811,327.20407,A,0,1
114,C,0.87523496,347.59183,A,0,1
115,C,0.5055184,367.97958,A,0,1
116,C,0.18188787,388.36734,A,0,1
117,C,0.0150384465,408.7551,A,0,1
118,C,0.0,429.14285,A,0,1
119,C,0.0,449.5306,A,0,1
120,C,0.0,469.91837,A,0,1
121,C,0.0,490.30612,A,0,1
122,C,0.0,510.69388,A,0,1
123,C,0.0,531.0816,A,0,1
124,C,0.0,551.46936,A,0,1
125,C,0.0,571.8571,A,0,1
126,C,0.0,592.2449,A,0,1
127,C,0.0009929842,612.6326,A,0,1
128,C,0.017072357,633.0204,A,0,1
129,C,0.080790944,653.40814,A,0,1
130,C,0.17745699,673.7959,A,0,1
131,C,0.281921,694.18365,A,0,1
132,C,0.42275336,714.5714,A,0,1
133,C,0.61941427,734.95917,A,0,1
134,C,0.8495307,755.3469,A,0,1
135,C,1.0768783,775.7347,A,0,1
136,C,1.2745847,796.12244,A,0,1
137,C,1.5098174,816.5102,A,0,1
138,C,1.6044426,836.89795,A,0,1
139,C,1.6943893,857.2857,A,0,1
140,C,1.7215176,877.67346,A,0,1
141,C,1.7027645,898.0612,A,0,1
142,C,1.7011442,918.449,A,0,1
143,C,1.6559752,938.83673,A,0,1
144,C,1.5602614,959.2245,A,0,1
