,neighbor,probability,distance,reference,id,perm
0,Astrocytes,2.1856344,21.387754,Astrocytes,0,1
1,Astrocytes,1.4649462,41.77551,Astrocytes,0,1
2,Astrocytes,1.3249999,62.163265,Astrocytes,0,1
3,Astrocytes,1.1641989,82.55102,Astrocytes,0,1
4,Astrocytes,1.1321548,102.938774,Astrocytes,0,1
5,Astrocytes,1.1578145,123.32653,Astrocytes,0,1
6,Astrocytes,1.210265,143.71428,Astrocytes,0,1
7,Astrocytes,1.1790484,164.10204,Astrocytes,0,1
8,Astrocytes,1.1621687,184.48979,Astrocytes,0,1
9,Astrocytes,1.2083027,204.87755,Astrocytes,0,1
10,Astrocytes,1.1913105,225.2653,Astrocytes,0,1
11,Astrocytes,1.1509521,245.65306,Astrocytes,0,1
12,Astrocytes,1.1276072,266.0408,Astrocytes,0,1
13,Astrocytes,1.070229,286.42856,Astrocytes,0,1
14,Astrocytes,1.059487,306.8163,Astrocytes,0,1
15,Astrocytes,1.0707906,327.20407,Astrocytes,0,1
16,Astrocytes,1.0629208,347.59183,Astrocytes,0,1
17,Astrocytes,1.0259571,367.97958,Astrocytes,0,1
18,Astrocytes,1.0834777,388.36734,Astrocytes,0,1
19,Astrocytes,1.063289,408.7551,Astrocytes,0,1
20,Astrocytes,1.0260122,429.14285,Astrocytes,0,1
21,Astrocytes,1.0263169,449.5306,Astrocytes,0,1
22,Astrocytes,0.99566793,469.91837,Astrocytes,0,1
23,Astrocytes,1.0202123,490.30612,Astrocytes,0,1
24,Astrocytes,1.011911,510.69388,Astrocytes,0,1
25,Astrocytes,1.0044385,531.0816,Astrocytes,0,1
26,Astrocytes,0.98640454,551.46936,Astrocytes,0,1
27,Astrocytes,0.9794837,571.8571,Astrocytes,0,1
28,Astrocytes,0.96168685,592.2449,Astrocytes,0,1
29,Astrocytes,0.96737015,612.6326,Astrocytes,0,1
30,Astrocytes,0.99201894,633.0204,Astrocytes,0,1
31,Astrocytes,0.9969917,653.40814,Astrocytes,0,1
32,Astrocytes,0.9521899,673.7959,Astrocytes,0,1
33,Astrocytes,0.95651203,694.18365,Astrocytes,0,1
34,Astrocytes,0.99741817,714.5714,Astrocytes,0,1
35,Astrocytes,0.9776962,734.95917,Astrocytes,0,1
36,Astrocytes,0.9652974,755.3469,Astrocytes,0,1
37,Astrocytes,0.97559863,775.7347,Astrocytes,0,1
38,Astrocytes,0.9850659,796.12244,Astrocytes,0,1
