,neighbor,probability,distance,reference,id
0,A,1.4184562,11.183674,A,1
1,A,1.3993899,21.367348,A,1
2,A,1.3146265,31.55102,A,1
3,A,1.2557455,41.734695,A,1
4,A,1.2372994,51.918365,A,1
5,A,1.2848644,62.10204,A,1
6,A,1.1969242,72.28571,A,1
7,A,1.2416486,82.46939,A,1
8,A,1.1543001,92.65306,A,1
9,A,1.1958396,102.83673,A,1
10,A,1.1988429,113.02041,A,1
11,A,1.1940086,123.20408,A,1
12,A,1.1521899,133.38776,A,1
13,A,1.1363567,143.57143,A,1
14,A,1.1581643,153.7551,A,1
15,A,1.1423855,163.93878,A,1
16,A,1.1291915,174.12245,A,1
17,A,1.1352313,184.30612,A,1
18,A,1.122012,194.48979,A,1
19,A,1.1195207,204.67346,A,1
20,A,1.1093388,214.85715,A,1
21,A,1.1118355,225.04082,A,1
22,A,1.127771,235.22449,A,1
23,A,1.1144673,245.40816,A,1
24,A,1.1160911,255.59184,A,1
25,A,1.0856311,265.7755,A,1
26,A,1.0869147,275.9592,A,1
27,A,1.1023651,286.14285,A,1
28,A,1.0806055,296.32654,A,1
29,A,1.0863588,306.5102,A,1
30,A,1.1059219,316.69388,A,1
31,A,1.0997752,326.87756,A,1
32,A,1.0953559,337.06122,A,1
33,A,1.0865586,347.2449,A,1
34,A,1.0996904,357.42856,A,1
35,A,1.0623909,367.61224,A,1
36,A,1.0796441,377.79593,A,1
37,A,1.0767624,387.97958,A,1
38,A,1.0745927,398.16327,A,1
39,A,1.046727,408.34692,A,1
40,A,1.050222,418.5306,A,1
41,A,1.0100627,428.7143,A,1
42,A,1.057477,438.89795,A,1
43,A,1.0463188,449.08163,A,1
44,A,1.0452518,459.26532,A,1
45,A,1.0331231,469.44897,A,1
46,A,1.0060494,479.63266,A,1
47,A,1.0334469,489.8163,A,1
48,A,1.0055702,500.0,A,1
49,B,0.29148027,11.183674,A,1
50,B,0.3749691,21.367348,A,1
51,B,0.38220006,31.55102,A,1
52,B,0.47482926,41.734695,A,1
53,B,0.46021664,51.918365,A,1
54,B,0.4883859,62.10204,A,1
55,B,0.54233295,72.28571,A,1
56,B,0.51156855,82.46939,A,1
57,B,0.58292675,92.65306,A,1
58,B,0.5737368,102.83673,A,1
59,B,0.5713631,113.02041,A,1
60,B,0.6081451,123.20408,A,1
61,B,0.6441422,133.38776,A,1
62,B,0.62170917,143.57143,A,1
63,B,0.6614031,153.7551,A,1
64,B,0.6464666,163.93878,A,1
65,B,0.69122434,174.12245,A,1
66,B,0.686645,184.30612,A,1
67,B,0.6762372,194.48979,A,1
68,B,0.66851884,204.67346,A,1
69,B,0.7257737,214.85715,A,1
70,B,0.70254713,225.04082,A,1
71,B,0.71242875,235.22449,A,1
72,B,0.71604854,245.40816,A,1
73,B,0.7366045,255.59184,A,1
74,B,0.7611895,265.7755,A,1
75,B,0.7864674,275.9592,A,1
76,B,0.77739227,286.14285,A,1
77,B,0.7822766,296.32654,A,1
78,B,0.78371143,306.5102,A,1
79,B,0.7705814,316.69388,A,1
80,B,0.7830298,326.87756,A,1
81,B,0.8272811,337.06122,A,1
82,B,0.7918816,347.2449,A,1
83,B,0.79878527,357.42856,A,1
84,B,0.8048064,367.61224,A,1
85,B,0.8153366,377.79593,A,1
86,B,0.81931394,387.97958,A,1
87,B,0.8613107,398.16327,A,1
88,B,0.8623654,408.34692,A,1
89,B,0.8816822,418.5306,A,1
90,B,0.90622574,428.7143,A,1
91,B,0.89832854,438.89795,A,1
92,B,0.9120021,449.08163,A,1
93,B,0.9199294,459.26532,A,1
94,B,0.94513595,469.44897,A,1
95,B,0.96812725,479.63266,A,1
96,B,0.9881533,489.8163,A,1
97,B,1.0102334,500.0,A,1
98,C,0.9203806,11.183674,A,1
99,C,0.89917433,21.367348,A,1
100,C,0.9564232,31.55102,A,1
101,C,0.93764615,41.734695,A,1
102,C,0.99330586,51.918365,A,1
103,C,0.9237334,62.10204,A,1
104,C,0.9719937,72.28571,A,1
105,C,0.9563632,82.46939,A,1
106,C,1.0066749,92.65306,A,1
107,C,0.97833896,102.83673,A,1
108,C,0.9763355,113.02041,A,1
109,C,0.9747645,123.20408,A,1
110,C,1.0031173,133.38776,A,1
111,C,1.0299085,143.57143,A,1
112,C,0.98848164,153.7551,A,1
113,C,1.0124487,163.93878,A,1
114,C,0.9977118,174.12245,A,1
115,C,0.995146,184.30612,A,1
116,C,1.0172647,194.48979,A,1
117,C,1.0100442,204.67346,A,1
118,C,0.99857956,214.85715,A,1
119,C,1.02545,225.04082,A,1
120,C,1.0002154,235.22449,A,1
121,C,1.0072438,245.40816,A,1
122,C,1.0061101,255.59184,A,1
123,C,1.0018119,265.7755,A,1
124,C,1.0065317,275.9592,A,1
125,C,0.9873207,286.14285,A,1
126,C,1.0136571,296.32654,A,1
127,C,0.99882215,306.5102,A,1
128,C,0.9843349,316.69388,A,1
129,C,0.9875745,326.87756,A,1
130,C,0.9759645,337.06122,A,1
131,C,0.98922205,347.2449,A,1
132,C,0.98209804,357.42856,A,1
133,C,1.0029249,367.61224,A,1
134,C,0.97638613,377.79593,A,1
135,C,0.9785875,387.97958,A,1
136,C,0.9650412,398.16327,A,1
137,C,0.9829761,408.34692,A,1
138,C,0.97490114,418.5306,A,1
139,C,0.99396753,428.7143,A,1
140,C,0.955311,438.89795,A,1
141,C,0.96263725,449.08163,A,1
142,C,0.959846,459.26532,A,1
143,C,0.96674204,469.44897,A,1
144,C,0.97772294,479.63266,A,1
145,C,0.94802296,489.8163,A,1
146,C,0.9757923,500.0,A,1
147,D,1.1205266,11.183674,A,1
148,D,1.084465,21.367348,A,1
149,D,1.1191158,31.55102,A,1
150,D,1.1605704,41.734695,A,1
151,D,1.0873168,51.918365,A,1
152,D,1.1045675,62.10204,A,1
153,D,1.0930682,72.28571,A,1
154,D,1.0910785,82.46939,A,1
155,D,1.0746138,92.65306,A,1
156,D,1.0637656,102.83673,A,1
157,D,1.0475117,113.02041,A,1
158,D,1.0293525,123.20408,A,1
159,D,0.9984991,133.38776,A,1
160,D,0.97433674,143.57143,A,1
161,D,0.99912924,153.7551,A,1
162,D,0.9985675,163.93878,A,1
163,D,1.0098722,174.12245,A,1
164,D,1.0011823,184.30612,A,1
165,D,0.98858523,194.48979,A,1
166,D,1.0372846,204.67346,A,1
167,D,1.0430034,214.85715,A,1
168,D,0.95776504,225.04082,A,1
169,D,1.006092,235.22449,A,1
170,D,1.0105957,245.40816,A,1
171,D,0.97849584,255.59184,A,1
172,D,1.0546168,265.7755,A,1
173,D,0.9925703,275.9592,A,1
174,D,1.0278566,286.14285,A,1
175,D,0.9945428,296.32654,A,1
176,D,1.027372,306.5102,A,1
177,D,1.0367758,316.69388,A,1
178,D,1.0182127,326.87756,A,1
179,D,1.0256238,337.06122,A,1
180,D,1.048926,347.2449,A,1
181,D,1.0329689,357.42856,A,1
182,D,1.0689322,367.61224,A,1
183,D,1.0887355,377.79593,A,1
184,D,1.0776095,387.97958,A,1
185,D,1.0883793,398.16327,A,1
186,D,1.114945,408.34692,A,1
187,D,1.1003278,418.5306,A,1
188,D,1.1301627,428.7143,A,1
189,D,1.1288748,438.89795,A,1
190,D,1.1185201,449.08163,A,1
191,D,1.1214439,459.26532,A,1
192,D,1.0978339,469.44897,A,1
193,D,1.109468,479.63266,A,1
194,D,1.1034933,489.8163,A,1
195,D,1.055631,500.0,A,1
196,A,0.2914803,11.183674,B,1
197,A,0.37496907,21.367348,B,1
198,A,0.38220006,31.55102,B,1
199,A,0.47482926,41.734695,B,1
200,A,0.4602166,51.918365,B,1
201,A,0.48838586,62.10204,B,1
202,A,0.542333,72.28571,B,1
203,A,0.5115685,82.46939,B,1
204,A,0.5829268,92.65306,B,1
205,A,0.5737368,102.83673,B,1
206,A,0.57136303,113.02041,B,1
207,A,0.6081451,123.20408,B,1
208,A,0.6441422,133.38776,B,1
209,A,0.6217092,143.57143,B,1
210,A,0.6614031,153.7551,B,1
211,A,0.6464666,163.93878,B,1
212,A,0.6912244,174.12245,B,1
213,A,0.68664503,184.30612,B,1
214,A,0.67623717,194.48979,B,1
215,A,0.66851884,204.67346,B,1
216,A,0.72577363,214.85715,B,1
217,A,0.7025471,225.04082,B,1
218,A,0.7124288,235.22449,B,1
219,A,0.7160485,245.40816,B,1
220,A,0.7366045,255.59184,B,1
221,A,0.76118964,265.7755,B,1
222,A,0.7864674,275.9592,B,1
223,A,0.7773923,286.14285,B,1
224,A,0.7822766,296.32654,B,1
225,A,0.7837114,306.5102,B,1
226,A,0.7705813,316.69388,B,1
227,A,0.7830298,326.87756,B,1
228,A,0.82728106,337.06122,B,1
229,A,0.7918817,347.2449,B,1
230,A,0.79878527,357.42856,B,1
231,A,0.80480635,367.61224,B,1
232,A,0.8153364,377.79593,B,1
233,A,0.81931394,387.97958,B,1
234,A,0.86131066,398.16327,B,1
235,A,0.86236537,408.34692,B,1
236,A,0.8816822,418.5306,B,1
237,A,0.9062257,428.7143,B,1
238,A,0.89832854,438.89795,B,1
239,A,0.9120022,449.08163,B,1
240,A,0.9199294,459.26532,B,1
241,A,0.94513595,469.44897,B,1
242,A,0.96812725,479.63266,B,1
243,A,0.98815316,489.8163,B,1
244,A,1.0102334,500.0,B,1
245,B,2.170005,11.183674,B,1
246,B,2.3957572,21.367348,B,1
247,B,2.2683513,31.55102,B,1
248,B,2.069561,41.734695,B,1
249,B,2.0561237,51.918365,B,1
250,B,2.0042543,62.10204,B,1
