,neighbor,probability,distance,reference,id,perm
0,"B cells, red pulp",,24.635136,"B cells, red pulp",0,1
1,"B cells, red pulp",,48.27027,"B cells, red pulp",0,1
2,"B cells, red pulp",,71.9054,"B cells, red pulp",0,1
3,"B cells, red pulp",,95.54054,"B cells, red pulp",0,1
4,"B cells, red pulp",,119.175674,"B cells, red pulp",0,1
5,"B cells, red pulp",,142.8108,"B cells, red pulp",0,1
6,"B cells, red pulp",,166.44595,"B cells, red pulp",0,1
7,"B cells, red pulp",,190.08109,"B cells, red pulp",0,1
8,"B cells, red pulp",,213.71622,"B cells, red pulp",0,1
9,"B cells, red pulp",,237.35135,"B cells, red pulp",0,1
10,"B cells, red pulp",,260.98648,"B cells, red pulp",0,1
11,"B cells, red pulp",,284.6216,"B cells, red pulp",0,1
12,"B cells, red pulp",,308.25674,"B cells, red pulp",0,1
13,"B cells, red pulp",,331.8919,"B cells, red pulp",0,1
14,"B cells, red pulp",,355.52704,"B cells, red pulp",0,1
15,"B cells, red pulp",,379.16217,"B cells, red pulp",0,1
16,"B cells, red pulp",,402.7973,"B cells, red pulp",0,1
17,"B cells, red pulp",,426.43243,"B cells, red pulp",0,1
18,"B cells, red pulp",,450.06757,"B cells, red pulp",0,1
19,"B cells, red pulp",,473.7027,"B cells, red pulp",0,1
20,"B cells, red pulp",,497.33783,"B cells, red pulp",0,1
21,"B cells, red pulp",,520.97296,"B cells, red pulp",0,1
22,"B cells, red pulp",,544.6081,"B cells, red pulp",0,1
23,"B cells, red pulp",,568.2432,"B cells, red pulp",0,1
24,"B cells, red pulp",,591.87836,"B cells, red pulp",0,1
25,"B cells, red pulp",,615.5135,"B cells, red pulp",0,1
26,"B cells, red pulp",,639.1486,"B cells, red pulp",0,1
27,"B cells, red pulp",,662.7838,"B cells, red pulp",0,1
28,"B cells, red pulp",,686.41895,"B cells, red pulp",0,1
29,"B cells, red pulp",,710.0541,"B cells, red pulp",0,1
30,"B cells, red pulp",,733.6892,"B cells, red pulp",0,1
31,"B cells, red pulp",,757.32434,"B cells, red pulp",0,1
32,"B cells, red pulp",,780.9595,"B cells, red pulp",0,1
33,"B cells, red pulp",,804.5946,"B cells, red pulp",0,1
34,"B cells, red pulp",,828.22974,"B cells, red pulp",0,1
35,"B cells, red pulp",,851.86487,"B cells, red pulp",0,1
36,"B cells, red pulp",,875.5,"B cells, red pulp",0,1
37,"B cells, red pulp",,899.13513,"B cells, red pulp",0,1
38,"B cells, red pulp",,922.77026,"B cells, red pulp",0,1
39,"B cells, red pulp",,946.4054,"B cells, red pulp",0,1
40,"B cells, red pulp",,970.0405,"B cells, red pulp",0,1
41,"B cells, red pulp",,993.67566,"B cells, red pulp",0,1
42,"B cells, red pulp",,1017.3108,"B cells, red pulp",0,1
43,"B cells, red pulp",,1040.9459,"B cells, red pulp",0,1
44,"B cells, red pulp",,1064.581,"B cells, red pulp",0,1
45,"B cells, red pulp",,1088.2162,"B cells, red pulp",0,1
46,"B cells, red pulp",,1111.8513,"B cells, red pulp",0,1
47,"B cells, red pulp",,1135.4865,"B cells, red pulp",0,1
48,"B cells, red pulp",,1159.1216,"B cells, red pulp",0,1
49,"B cells, red pulp",,1182.7567,"B cells, red pulp",0,1
50,"B cells, red pulp",,1206.3918,"B cells, red pulp",0,1
51,"B cells, red pulp",,1230.027,"B cells, red pulp",0,1
52,"B cells, red pulp",,1253.6621,"B cells, red pulp",0,1
53,"B cells, red pulp",,1277.2972,"B cells, red pulp",0,1
54,"B cells, red pulp",,1300.9324,"B cells, red pulp",0,1
55,"B cells, red pulp",,1324.5676,"B cells, red pulp",0,1
56,"B cells, red pulp",,1348.2028,"B cells, red pulp",0,1
57,"B cells, red pulp",,1371.8379,"B cells, red pulp",0,1
58,"B cells, red pulp",,1395.473,"B cells, red pulp",0,1
59,"B cells, red pulp",,1419.1082,"B cells, red pulp",0,1
60,"B cells, red pulp",,1442.7433,"B cells, red pulp",0,1
61,"B cells, red pulp",,1466.3784,"B cells, red pulp",0,1
62,"B cells, red pulp",,1490.0135,"B cells, red pulp",0,1
63,"B cells, red pulp",,1513.6487,"B cells, red pulp",0,1
64,"B cells, red pulp",,1537.2838,"B cells, red pulp",0,1
65,"B cells, red pulp",,1560.919,"B cells, red pulp",0,1
66,"B cells, red pulp",,1584.5541,"B cells, red pulp",0,1
67,"B cells, red pulp",,1608.1892,"B cells, red pulp",0,1
68,"B cells, red pulp",,1631.8243,"B cells, red pulp",0,1
69,"B cells, red pulp",,1655.4595,"B cells, red pulp",0,1
70,"B cells, red pulp",,1679.0946,"B cells, red pulp",0,1
71,"B cells, red pulp",,1702.7297,"B cells, red pulp",0,1
