"","x","y","celltypes"
"cell1",896.697200136259,387.112989090383,"D"
"cell2",265.5086631421,871.805021073669,"D"
"cell3",372.12389963679,967.197048477829,"D"
"cell4",572.853363351896,866.916270926595,"D"
"cell5",908.207789994776,437.715301522985,"A"
"cell6",201.681931037456,191.937792114913,"C"
"cell7",898.389684967697,82.2944045066833,"D"
"cell8",944.675268605351,583.451637532562,"A"
"cell9",660.797792486846,70.3614954836667,"D"
"cell10",629.11404389888,527.662655804306,"D"
"cell11",61.7862704675645,472.288285382092,"D"
"cell12",205.974574899301,48.1913706753403,"C"
"cell13",176.556752528995,594.540807651356,"B"
"cell14",687.022846657783,791.271215071902,"C"
"cell15",384.103718213737,598.868683679029,"A"
"cell16",769.841419998556,27.9159292113036,"D"
"cell17",497.699242085218,395.72663186118,"B"
"cell18",717.618508264422,106.243964517489,"D"
"cell19",991.906094830483,24.1113880183548,"A"
"cell20",380.035179434344,840.897767804563,"A"
"cell21",777.445221319795,326.39992586337,"B"
"cell22",934.705231105909,294.2976471968,"B"
"cell23",212.142521282658,822.897979756817,"B"
"cell24",651.673766085878,414.347424637526,"D"
"cell25",125.555095961317,10.1712229661644,"D"
"cell26",267.220668727532,52.4083885829896,"D"
"cell27",386.114092543721,730.370381381363,"B"
"cell28",13.3903331588954,73.3949469868094,"D"
"cell29",382.387957070023,70.3566265292466,"A"
"cell30",869.69084572047,637.171967187896,"D"
"cell31",340.34899668768,413.30587095581,"A"
"cell32",482.080115471035,430.717830779031,"D"
"cell33",599.565825425088,80.2463705185801,"A"
"cell34",493.541307048872,277.116678655148,"C"
"cell35",186.217601411045,794.071018928662,"D"
"cell36",827.373318606988,91.0974657163024,"D"
"cell37",668.466738192365,276.682177558541,"B"
"cell38",794.23986072652,136.255458230153,"D"
"cell39",107.943625887856,663.4760950692,"B"
"cell40",723.710946040228,979.130022460595,"B"
"cell41",411.274429643527,211.811334360391,"A"
"cell42",820.946294115856,372.02698434703,"B"
"cell43",647.060193819925,118.364716647193,"D"
"cell44",782.93276228942,782.723808661103,"B"
"cell45",553.036311641335,65.5782136600465,"A"
"cell46",529.719580197707,783.775092335418,"D"
"cell47",789.356231689453,123.852211982012,"D"
"cell48",23.331202333793,777.341672452167,"B"
"cell49",477.230065036565,361.34907277301,"B"
"cell50",732.3137386702,615.930010797456,"D"
"cell51",692.731556482613,917.042729211971,"B"
"cell52",477.619622135535,105.220099911094,"D"
"cell53",861.2094768323,715.545793995261,"D"
"cell54",438.097107224166,156.366555485874,"D"
"cell55",244.797277031466,261.575721204281,"C"
"cell56",70.6790471449494,773.791367653757,"B"
"cell57",99.4661601725966,594.759070547298,"D"
"cell58",316.27170718275,95.3767166938633,"A"
"cell59",518.634263193235,158.467933768407,"A"
"cell60",662.0050764177,701.090714894235,"B"
"cell61",406.830187188461,269.182726275176,"A"
"cell62",912.875924259424,296.830063685775,"B"
"cell63",293.603372760117,562.665292294696,"C"
"cell64",459.065726259723,345.176512375474,"B"
"cell65",332.394674187526,996.363310841843,"D"
"cell66",650.87046707049,214.889628114179,"B"
"cell67",258.016780717298,590.747197624296,"C"
"cell68",478.545248275623,408.99104741402,"D"
"cell69",766.310670645908,539.928927551955,"A"
"cell70",84.2469143681228,809.806877514347,"C"
"cell71",875.321330036968,10.6531432829797,"D"
"cell72",339.072937844321,674.989556195214,"D"
"cell73",839.440350187942,880.181554006413,"B"
"cell74",346.68348915875,408.088765805587,"D"
"cell75",333.774930797517,894.052134593949,"D"
"cell76",476.351245073602,807.851313846186,"D"
"cell77",892.198335845023,52.2684226743877,"A"
"cell78",864.339470630512,951.139469398186,"C"
"cell79",389.989543473348,498.940351651981,"C"
"cell80",777.320698834956,497.459183679894,"D"
"cell81",960.617997217923,201.222010422498,"B"
"cell82",434.659484773874,680.997319286689,"D"
"cell83",712.514678714797,547.304183710366,"B"
"cell84",399.994368897751,609.57774030976,"A"
"cell85",325.352151878178,308.182996464893,"C"
"cell86",757.087148027495,164.061164716259,"B"
"cell87",202.692255144939,847.399726277217,"B"
"cell88",711.121222469956,177.070725010708,"B"
"cell89",121.691921027377,586.210725829005,"B"
"cell90",245.488513959572,972.556549590081,"D"
"cell91",143.30437942408,534.099313896149,"B"
"cell92",239.629415096715,810.91625452973,"B"
"cell93",58.9343772735447,650.906511116773,"B"
"cell94",642.288258532062,770.98110713996,"C"
"cell95",876.269212691113,34.5583152957261,"D"
"cell96",778.914677444845,558.660281123593,"D"
"cell97",797.30882588774,120.087367016822,"A"
"cell98",455.274453619495,686.299628112465,"D"
"cell99",410.084082046524,914.125661132857,"A"
"cell100",810.870242770761,560.349760344252,"C"
"cell101",604.933290276676,575.576044851914,"D"
